	100_control_glom	110_control_glom	119_control_glom	123_control_glom	150_control_glom	154_control_glom	33_control_glom	34_control_glom	76_control_glom	77_control_glom	81_control_glom	82_control_glom	83_control_glom	151_DKD_glom	158_DKD_glom	164_DKD_glom	168_DKD_glom	178_DKD_glom	40_DKD_glom	48_DKD_glom	62_DKD_glom	67_DKD_glom
HPGDS 	-1.59906	-1.60489	-1.75356	-1.52522	-1.91595	-1.94022	-1.55518	-1.94335	-1.93542	-1.82098	-1.99626	-1.83346	-1.98239	-1.06107	-1.49835	-0.38899	-1.65596	-1.04077	-1.11444	-1.48133	-0.68434	-1.05634
NLE1 	0.17011	-0.0173	-0.3135	-0.08457	-0.12421	-0.07085	-0.63971	-0.19117	-0.4406	-0.76778	-0.29955	-0.31259	-0.64352	0.70302	0.31606	-0.20254	0.09924	0.16611	0.30261	-0.10603	0.1954	0.21533
OSM 	-0.14795	-0.51064	-0.49917	-0.46599	-0.51241	-0.43222	-0.72352	-0.53577	-0.27973	-0.33257	-0.5152	-0.32073	-0.46592	-0.09621	-0.05796	-0.37407	-0.20941	0.06096	-0.44009	0.07806	0.11071	0.02793
MS4A6A 	-0.33029	0.80013	0.69243	-0.33849	-0.22786	-0.09205	-0.29339	0.33263	-0.51648	-0.45704	0.11978	-0.28656	-0.29594	1.62653	-0.06259	1.52126	1.55205	1.49678	3.00517	0.84004	3.38272	1.96175
HOMER3 	0.40831	1.09523	0.25489	1.00867	1.16947	0.73807	1.15637	1.51902	0.80919	0.60553	0.64365	0.36812	0.52941	2.48071	2.25657	1.79932	1.74632	2.46746	2.94433	1.13198	1.213	1.15935
NONO 	1.44442	1.00216	0.76955	1.34526	1.79953	1.71171	1.62894	1.37343	0.95064	1.34298	0.85182	1.07167	0.92229	1.85064	1.96681	1.46034	1.74787	1.61491	1.90189	1.56258	1.62555	1.55895
BOP1 	-0.08655	0.48114	0.19933	0.47857	0.37032	0.59988	0.34687	0.51033	0.49052	0.42536	0.21559	0.22011	0.5695	0.8595	0.89434	0.43987	0.67263	0.70316	0.41958	0.9358	0.70479	0.67504
CCDC154 	0.9055	1.43403	0.97101	1.47963	1.50697	1.30604	1.24714	1.33863	1.16746	1.28463	1.11783	1.51994	1.3474	1.63375	2.21922	1.45916	1.55243	1.53133	1.52792	1.85302	1.60457	1.78859
CLCN7 	0.9055	1.43403	0.97101	1.47963	1.50697	1.30604	1.24714	1.33863	1.16746	1.28463	1.11783	1.51994	1.3474	1.63375	2.21922	1.45916	1.55243	1.53133	1.52792	1.85302	1.60457	1.78859
CD1C 	0.14871	0.69451	0.27096	0.24693	0.44159	0.00447	0.13095	-0.10988	0.46441	0.42537	0.36755	0.42635	0.05264	1.26236	0.46854	1.19682	1.77625	1.36949	1.219	0.60265	2.12724	2.43702
RGS14 	0.18262	0.69878	0.29147	0.99997	0.20217	0.3262	0.23482	0.80539	-0.13569	0.44945	-0.11955	0.26573	0.03686	2.04455	1.41687	1.428	0.41023	1.36894	1.17039	0.9331	0.67124	0.87777
C15orf39 	-0.19607	-0.02684	0.55758	0.30654	3.00E-04	-0.05394	-0.02998	0.0196	-0.04205	0.14879	0.15544	0.60073	-0.00972	0.70815	0.76258	0.51869	0.75005	1.15408	0.3117	0.13948	1.06611	0.55374
S100A14 	0.34549	0.16207	-0.82959	-0.64715	-0.05119	-0.2879	8.00E-05	0.35403	-0.58392	0.0166	-0.72489	0.04815	-0.08242	-0.00557	0.11656	0.22572	0.42374	0.33737	0.61057	0.69781	0.90945	0.40504
COL1A2 	-0.93741	-0.43861	-0.30089	-1.68844	-1.85511	-2.2342	-0.63425	-0.80469	-0.57314	-1.65276	-0.45107	-0.11595	0.12974	0.95982	-0.36767	1.75051	2.83934	0.94223	2.98073	-0.06778	4.52856	2.29268
RUNDC3A 	-0.14198	-0.06499	-0.28801	0.07714	-0.14606	-0.26669	-0.40644	0.0285	-0.16015	0.22852	0.04168	-0.31448	0.02752	0.15442	0.44083	0.06144	0.08403	0.26949	0.08838	0.14275	0.44776	0.6882
POU4F3 	-2.28882	-2.35957	-2.36032	-2.10247	-2.23284	-2.13584	-2.48318	-2.34345	-2.2408	-2.16579	-2.27638	-2.20537	-2.26917	-2.14847	-1.78431	-2.09515	-2.11755	-2.04256	-2.23536	-1.98267	-1.87377	-2.00052
MYH14 	-0.9025	-0.77364	-1.10633	-0.45619	-0.63188	-0.48486	-0.96853	-0.64188	-0.72754	-0.50063	-0.83804	-1.03018	-0.84875	-0.34456	0.20441	-0.35808	-0.49521	-0.49865	-0.42039	-0.4304	-0.35479	-0.59142
WNT16 	-1.07508	-1.04188	-1.45513	-1.1444	-1.23754	-0.76047	-1.02472	-1.08279	-0.71588	-1.09858	-1.1037	-1.05109	-1.33959	-0.81184	-0.65926	-0.87863	-0.77187	-0.7229	-1.12956	-0.49552	-0.45836	-0.58509
LBR 	4.48802	3.75554	3.39594	2.70284	3.24526	2.96049	3.36966	3.47127	3.47276	3.43951	3.70478	3.79224	3.64934	3.88106	3.90927	4.51555	4.65083	3.69113	4.13924	4.17733	5.0932	4.3058
PSME2 	3.46867	3.33255	3.46985	3.51736	2.82648	2.72557	2.95901	3.30184	2.62076	2.50872	2.51511	2.60319	2.50423	3.52787	3.73593	3.37136	3.43249	3.71534	3.9186	2.88462	3.66844	4.04442
STMN2 	-2.2269	-2.38352	-2.455	-2.24281	-2.40888	-2.24964	-2.24854	-2.27564	-2.47994	-2.21611	-2.54697	-2.4373	-2.26203	-2.19194	-2.04871	-2.29696	-2.09436	-2.23426	-2.11131	-2.13182	-1.81923	-2.07255
NPC1L1 	-0.99448	-0.98573	-1.12732	-0.79065	-0.61658	-0.82799	-0.5723	-1.07445	-0.73306	-0.25845	-0.51032	-0.67325	-0.90465	0.63434	0.20441	-0.71261	0.1836	-0.47018	-0.14412	-0.11977	-0.45277	0.14428
RNF141 	-0.77791	-1.15287	-1.42596	-0.94766	-0.66465	-0.8366	-0.82859	-0.65326	-1.50858	-1.34286	-1.12667	-1.62196	-1.28509	-0.85432	-0.79086	-0.19003	-0.41989	-0.84281	-0.39564	-0.12119	-0.82993	-0.60502
MAL 	4.17184	5.64776	4.67914	5.14215	4.61934	5.05699	4.45478	6.04103	4.3782	4.12963	4.57698	4.95126	5.44295	5.04884	6.1299	6.09015	5.66747	6.14445	5.71255	5.50887	5.59558	5.24739
RARRES1 	-0.87004	-1.89472	-1.47539	-1.60361	-1.65662	-1.32882	-0.94281	-0.18991	-1.80535	-1.67756	-1.8532	-0.47635	-1.94024	2.72131	0.85478	2.42661	1.789	0.48451	4.32146	-1.42157	4.64578	1.0343
ATXN10 	-0.66939	-0.44132	-0.92506	-1.07588	-0.91789	-1.01774	-0.02725	-0.10883	-0.2526	-0.58685	-0.31192	-0.06258	-0.69698	0.13933	1.12636	0.2524	0.40444	0.01102	1.35985	-0.22303	1.48954	0.04206
FBLN1 	-0.66939	-0.44132	-0.92506	-1.07588	-0.91789	-1.01774	-0.02725	-0.10883	-0.2526	-0.58685	-0.31192	-0.06258	-0.69698	0.13933	1.12636	0.2524	0.40444	0.01102	1.35985	-0.22303	1.48954	0.04206
C7orf43 	0.79867	0.32146	0.22833	0.4646	0.55262	0.81449	0.51775	0.67501	0.30752	0.50647	0.32638	0.50192	0.53512	1.09319	1.17692	1.04035	0.63522	0.63004	0.86108	1.60234	1.10264	0.85088
PRAME 	-1.92542	-1.4918	-2.02756	-1.68328	-1.57947	-1.71336	-1.85471	-1.80082	-2.12441	-1.96122	-1.89982	-1.76889	-2.0168	-1.79769	-1.45262	-1.57097	-1.35359	-1.59941	-1.52976	-1.63832	-1.12344	-1.48449
NCF4 	-1.79561	-1.5078	-1.76702	-1.50913	-1.73473	-1.65625	-1.64951	-1.55182	-1.88568	-1.75868	-1.71312	-1.73761	-1.54833	-1.4229	-1.47684	-1.03443	-1.18529	-0.87998	-1.37378	-1.64872	-1.36708	-1.25051
DTX2 	-1.11429	-1.06786	-1.2785	-0.88411	-1.12144	-1.01461	-0.96273	-1.08827	-0.89719	-1.14757	-1.05462	-0.94423	-1.11373	-0.61901	-0.6523	-0.71321	-0.9074	-0.61282	-1.17216	-0.5162	-0.73246	-0.61082
TNFRSF6B 	-0.58183	-0.79346	-0.56827	-0.4898	-0.6368	-0.81112	-1.1314	-0.78513	-1.4368	-0.75397	-0.86994	-0.92673	-0.78127	-0.46316	-0.28816	-0.52988	-0.37205	-0.17352	-0.53077	-0.72343	-0.31829	0.22228
NOL7 	-1.08679	-0.95495	-1.33028	-0.79065	-0.86747	-0.98552	-1.17211	-1.14768	-1.00273	-0.99088	-0.98888	-0.96679	-1.16173	-0.73825	-0.37426	-0.6952	-0.75546	-0.49288	-0.81052	-0.40151	-1.01926	-0.84512
WDR77 	0.51206	0.86092	0.89446	0.85707	0.77187	0.55599	0.86161	0.3917	0.59661	0.52533	0.48534	0.79948	0.60209	1.42908	1.47463	1.48581	1.03319	0.82987	1.43713	0.90967	0.94454	0.81761
PIP5K1A 	2.05321	1.66567	1.05271	1.50231	1.31687	1.52494	1.63599	1.61623	1.56211	1.27135	1.50312	1.62584	1.38774	1.6413	2.36058	1.97933	2.20563	2.11241	1.58631	2.15806	1.68565	2.28483
CLDN15 	1.11715	2.0197	1.36922	1.78709	1.77233	1.62455	1.78851	1.38932	1.54677	1.60069	1.64236	1.66683	1.6674	2.04808	1.92762	1.93871	1.51071	2.13443	2.0733	1.91721	2.04654	1.99138
FAM110B 	-0.21298	0.04611	-0.17998	0.00678	-0.50918	-0.11777	-0.30478	0.37618	-0.30956	-0.53093	-0.17579	0.05233	-0.2406	0.37928	-0.44809	0.64244	0.95674	0.68966	0.97023	0.67468	0.95394	0.30065
XPNPEP1 	3.93553	3.61839	3.41699	3.46023	3.53105	3.44154	3.51718	3.79814	3.55752	3.41457	3.56608	3.45579	3.5691	4.10931	4.025	4.48888	4.26843	4.33497	4.0266	3.71522	3.88711	3.54481
RHBDD3 	0.48336	0.61593	0.92772	0.34244	0.27493	0.67482	0.36795	0.41011	0.34812	0.49922	0.2229	0.07088	0.0194	0.789	0.8807	0.79132	0.78867	0.59749	0.68662	0.42841	1.03057	0.72356
RPL13A 	5.92076	5.86003	5.70866	5.96262	5.7208	5.48033	5.94702	5.88801	5.56747	5.74019	5.54762	5.47742	5.7751	5.9353	6.08819	6.20534	6.37126	6.08099	6.29013	5.87226	6.18474	6.87004
GNA15 	-1.01342	-0.44958	-1.01149	-0.92098	-0.96722	-0.67925	-0.70324	-0.63673	-0.80367	-0.86489	-0.69222	-0.80621	-0.95615	-0.24046	-0.66694	-0.0167	-0.16862	0.29557	0.1552	-0.77009	0.65666	0.09984
TRIL 	0.75659	0.14692	-0.0426	-0.39597	0.20902	0.06594	-0.01401	0.40489	0.1673	-0.57493	-0.02611	-0.02041	0.71561	0.45927	0.38002	1.13009	1.40145	0.73971	1.05414	0.20852	1.13532	0.609
CSF1R 	-0.35367	0.51579	0.13404	-0.62588	-0.39986	-0.57548	-0.43169	-0.21439	-0.27988	-0.3741	-0.31666	-0.07739	-0.23149	-0.04302	0.17963	0.92037	0.96207	0.46014	1.8253	0.19512	0.66994	0.61936
RPS7 	6.56958	6.93415	7.11365	7.20609	6.78512	7.06271	7.00536	7.04991	6.92716	7.1326	6.92909	7.15901	7.30919	7.29694	7.22685	7.0835	7.34861	7.26821	7.2356	7.15326	7.3078	7.33903
HAPLN1 	-0.89687	-1.10628	-1.22058	-0.95913	-0.92778	-1.23521	-1.10382	-0.91789	-1.17876	-0.98635	-0.94392	-1.13911	-0.81028	-0.75956	0.0693	-0.66332	-0.6532	-0.68463	-0.92922	-0.57342	-0.21522	-0.55038
MPZL1 	0.01659	-0.2319	-0.17028	-4.10E-04	0.21987	-0.28844	0.25518	-0.16817	-0.29636	-0.07377	0.00159	-0.18146	0.12639	0.06932	0.35159	0.44414	0.15951	-0.05835	0.19577	0.51601	0.53675	0.59411
NUP210 	-0.8785	-1.19226	-1.19523	-1.19526	-1.05146	-0.94583	-1.03618	-1.00702	-1.05883	-1.08199	-1.04496	-1.03283	-0.81655	-0.77603	-0.86063	-0.75035	-0.59037	-0.75054	-0.89919	-0.10229	-0.47675	-0.66693
CCR1 	1.89688	0.31524	0.00636	-0.40181	0.7242	-0.48486	0.42553	-0.27506	-0.3249	-0.70238	-0.10128	0.148	-0.20037	1.11801	0.72905	0.73166	1.2654	0.22993	1.25686	0.93004	1.77764	0.79825
KCNJ8 	-0.31301	-0.37172	-0.4894	-0.53808	-0.03309	-0.15793	-0.42366	-0.11452	-0.00856	-0.04764	0.1466	0.02491	-0.52969	0.75394	-0.25562	0.51194	2.12422	1.04085	0.71507	0.41162	0.91361	0.91326
EBI3 	-1.17239	-1.08291	-0.88043	-1.31636	-1.01113	-1.328	-1.1009	-1.00623	-1.35156	-1.45471	-1.23428	-1.26837	-1.09581	-0.81098	-0.80859	-1.10537	-0.98756	-0.97564	-0.85268	-0.72967	-0.29728	-0.70627
RAB6A 	-1.1901	-1.6638	-1.60906	-1.25559	-1.54901	-1.31764	-1.52376	-1.38577	-1.25327	-1.40209	-1.36906	-1.58144	-1.28972	-0.88717	-0.94334	-1.25495	-1.19542	-1.02644	-1.45946	-0.74038	-1.0492	-1.11183
CFB 	2.52683	0.71442	0.56534	0.25432	1.34337	1.33329	0.45475	1.36858	0.07631	-0.39196	-0.08794	-0.15427	-0.44201	2.55433	3.289	2.43396	2.80373	1.50648	3.25303	0.10593	2.1233	1.75749
ZNF576 	1.02166	0.93717	0.7334	0.73239	0.87357	0.84046	0.90266	0.60378	0.69852	1.01418	0.97508	0.93512	0.822	0.90938	1.19155	0.9358	1.07537	1.0369	0.93636	1.18302	1.03881	1.22097
LPAR2 	-0.37664	0.28721	-0.25956	-0.07449	0.08487	-0.04966	0.11233	0.17861	-0.25368	0.04923	0.00837	0.2122	0.08075	0.36232	0.15155	0.44871	-0.06079	0.28356	0.73283	0.7013	0.58596	0.56183
SSR2 	2.75731	3.54	3.6261	3.50101	3.39594	3.192	3.48395	3.67402	3.06358	3.08746	3.19166	3.03337	3.18162	3.84429	4.35552	3.47416	3.78693	4.43883	3.90004	3.61048	3.59079	3.55467
TK1 	-0.81863	-0.87338	-0.69329	-0.63996	-0.93185	-0.82917	-0.5817	-0.79561	-0.73054	-0.2719	-0.79891	-0.86627	-1.00837	-0.61961	-0.45881	-0.07352	-0.78952	0.1617	-0.2361	0.16685	0.20622	0.03506
UBE2D4 	1.43403	1.62256	1.53248	1.55664	1.55719	1.55759	1.50223	1.59964	1.44066	1.49518	1.49425	1.42926	1.453	1.58988	2.38491	2.35136	2.13069	1.75268	1.56472	2.03554	2.34736	2.2197
COL14A1 	-1.53552	-1.352	-1.59443	-2.0696	-1.89851	-1.48254	-1.73628	-1.22734	-1.50887	-1.60517	-1.65052	-1.11897	-1.60133	-1.04816	-1.40421	-1.04644	0.0072	-1.02916	-0.15809	-1.27281	-0.64894	-0.74482
KRT24 	-2.33439	-2.15657	-2.55732	-1.92127	-2.23146	-2.19234	-2.34834	-2.20908	-2.27166	-2.13688	-2.41636	-2.38311	-2.12229	-1.93184	-2.10664	-2.03252	-2.19038	-1.70343	-1.99293	-1.74683	-1.42405	-1.65053
MAP4K1 	-0.24956	4.80E-04	0.10104	0.01223	-0.35563	-0.60194	-0.69382	-0.23326	-0.4877	-0.51435	-0.38941	-0.12098	-0.37706	0.34125	-0.0436	0.3178	0.32838	-0.28142	0.77286	0.33475	0.87974	1.2703
LGALS9 	0.65366	1.17822	0.45461	0.99027	0.90278	0.49442	0.8228	1.00384	0.80618	0.90342	0.63815	0.69481	0.96898	1.04115	1.06196	1.09802	1.16753	0.90218	0.95572	1.48902	1.47752	1.44857
SLC16A6 	-1.1994	-1.09393	-1.52517	-1.06335	-1.18241	-1.14289	-1.41958	-1.43317	-1.71777	-1.21945	-1.40004	-1.33507	-1.58574	-1.16743	-1.06302	-0.75842	-1.08548	-0.99122	-1.26276	-1.15635	-1.04303	-0.99847
MFGE8 	0.16523	0.25776	-0.10171	0.74141	0.10986	0.26914	0.059	0.36351	0.39534	0.52965	0.40112	0.27954	0.51789	0.70635	0.70842	0.51083	0.43079	0.57258	0.9464	0.91227	0.38855	0.61849
SVEP1 	-0.4995	-0.3825	-0.7187	-0.70727	-0.84183	-0.81505	-0.39846	-0.73893	-0.55855	-0.69006	-0.36541	-0.36204	-0.58857	-0.47822	-0.52435	0.70616	0.37496	-0.0699	0.03214	-0.06188	0.34435	0.70961
C2 	0.89069	0.95985	0.44957	1.14782	1.21817	1.30746	0.59793	0.88073	0.26916	0.68549	0.41676	0.42709	0.78634	2.32675	1.49107	1.35688	1.30486	1.05814	2.74264	1.55828	1.31165	1.39637
NMB 	1.02764	1.83087	1.4901	2.03571	1.38207	1.49331	1.48746	1.17897	1.37119	1.29634	1.1609	1.37659	1.29957	2.394	1.87075	1.28865	1.62286	2.36397	2.51556	2.08791	1.96964	2.10402
CROCC 	-0.78466	-0.69105	-0.587	-0.27931	-0.78303	-0.64455	-0.86556	-0.46854	-0.82005	-0.94589	-0.86848	-0.96798	-0.91331	-0.48702	-0.63286	-0.53206	-0.32926	-0.28238	-0.68927	-0.34043	-0.06688	-0.06718
TNFSF10 	4.15256	3.784	4.65697	3.76711	2.81387	3.38736	4.10015	3.36576	4.17551	3.17104	4.05219	3.85669	4.11505	4.8743	3.71514	4.55037	4.76913	5.39707	5.02406	4.37585	5.21062	4.10106
PPPDE2 	-0.9439	-0.41389	-0.65951	0.02422	-0.23548	-0.08071	-0.2524	-0.24272	-1.01671	-0.78563	-0.62573	-0.65882	-0.941	0.09409	0.36779	0.62349	0.81865	-0.05013	-0.22348	-0.16525	-0.17833	-0.28896
MSC 	-1.08598	-0.97869	-0.91875	-0.35284	-0.62267	-0.73209	-0.93441	-0.41208	-0.7128	-1.0761	-0.73525	-0.83509	-0.72276	-0.30009	-0.38092	-0.69704	-0.71959	-0.305	-0.5306	-0.56241	-0.14993	-0.29062
SCD 	0.53229	1.09402	0.97955	1.16123	1.05857	0.77976	1.14417	0.83233	0.90083	1.12741	0.71248	0.99754	0.95888	1.57448	2.16559	1.66101	1.15241	1.48456	0.85676	1.38057	1.7213	1.55062
RPS6KA1 	0.2845	0.92688	0.45353	0.75875	0.47558	0.30575	0.50826	1.14786	-0.17883	0.53957	-0.56908	0.08286	-0.295	1.13028	2.37621	1.70513	1.69611	1.15309	1.64523	0.85015	0.54888	0.54912
HMBS 	0.81547	1.19753	1.19333	1.45431	1.11229	1.015	1.40091	1.71012	1.15339	1.05724	1.15731	1.15214	0.70944	1.74708	2.76972	2.13909	1.98074	2.1276	1.65755	1.7886	1.4735	1.14072
HNF1B 	3.54702	4.28954	3.2818	3.84317	3.9066	3.82595	3.56848	4.33789	3.28007	2.95755	3.00368	3.11289	3.29293	4.46646	5.09637	3.97129	4.30368	4.54362	4.21067	4.14848	4.22773	3.50031
RPS9 	4.54295	5.75165	5.45182	5.99886	5.56987	5.48716	5.654	5.93086	5.46284	5.10631	5.25963	5.1188	5.51647	6.0019	5.96956	5.52597	5.71315	5.93331	6.18944	5.92464	5.85981	6.12887
RCC1 	-0.8001	-0.59588	-0.74245	-0.51456	-0.94919	-0.48848	-0.80816	-0.58974	-0.64328	-0.46805	-0.29177	-0.59806	-0.58727	-0.36952	-0.14497	-0.25792	-0.27478	-0.23098	-0.36621	-0.72154	-0.46065	-0.11286
FAM49A 	-1.40572	-1.55802	-1.91285	-1.68815	-1.57885	-1.76598	-1.73167	-1.88674	-1.42794	-1.74526	-1.49968	-1.89059	-1.6821	-1.52569	-1.53287	-1.44283	-1.26648	-1.61201	-1.21517	-1.19827	-1.4862	-1.03936
ITGB2 	-1.37165	-0.40156	0.19755	-0.88776	-0.64897	-0.70143	-1.03954	-1.0227	-0.5171	-1.43083	-1.33573	-1.25643	-1.50144	0.27007	-0.55859	1.17231	1.63982	0.41321	0.28162	-0.76906	-0.26666	1.5248
SIGLEC1 	-1.18126	-0.91594	-1.03803	-0.90657	-0.91165	-0.93425	-1.32348	-0.83265	-1.12876	-1.05666	-1.10158	-1.11902	-0.95664	-0.39092	-0.6266	-0.54204	-0.67078	-0.63256	-0.87294	-0.90914	0.16219	-0.48429
TRO 	-1.93911	-1.65062	-2.2756	-1.7862	-2.12748	-1.80144	-2.03743	-1.96249	-1.99356	-1.61226	-2.04932	-2.02382	-2.12016	-1.74699	-1.64894	-1.7431	-1.6152	-1.48708	-1.89725	-1.6566	-1.73151	-1.83461
C4orf10 	-1.14361	-0.81758	-0.94529	-0.93565	-1.12006	-1.1657	-1.10899	-1.2139	-1.22694	-0.99209	-1.28483	-1.08488	-0.82722	-0.67899	-0.26707	-0.36064	-0.814	-0.56645	-1.0495	-0.71544	-0.77712	-0.92698
UCP2 	-0.04714	0.37835	0.18611	0.34307	0.23436	0.19459	0.37077	0.18273	0.17853	0.52732	0.39085	0.35328	0.30826	0.93602	0.58538	0.37291	0.77743	0.4882	0.30867	0.69023	0.81403	0.45517
PTGES 	-0.21153	-0.45197	-0.58924	-0.13529	-0.48965	-0.58374	-0.22929	-0.15144	-0.37074	-0.33157	-0.36158	0.04125	-0.27247	0.20329	0.10071	0.73071	-0.1048	0.36037	0.874	0.24788	0.74039	1.79022
TRIM16 	-1.40453	-1.00629	-1.12199	-0.83459	-1.20993	-0.81777	-0.7362	-1.00051	-1.12769	-1.09852	-1.20893	-1.08244	-1.20537	-0.21306	-0.29195	1.20697	0.12867	0.50564	-0.50983	-0.75109	0.01469	-0.83508
RPL10 	4.57803	6.48818	6.56856	6.7358	6.60045	6.59941	6.52192	6.57329	5.45609	5.16431	5.47538	5.58962	5.80874	6.63097	7.22648	6.7097	7.19045	6.95382	6.95682	6.45064	6.24699	7.45375
TBC1D4 	3.24198	2.44698	2.13647	2.33708	1.86395	1.94392	2.34057	3.27397	2.35447	2.36536	2.48492	2.61217	2.91315	2.347	3.312	3.41059	2.86845	2.96848	3.15761	3.3509	3.7397	3.11561
BCL2 	0.05491	-0.1457	4.40E-04	0.28715	0.25997	0.35896	0.22723	0.18213	-0.02565	0.17452	0.01047	0.06068	0.16066	0.46625	0.75863	0.2216	0.57212	0.41258	0.16986	0.5634	0.69709	0.20007
GJC2 	-1.00627	-0.90965	-0.55021	-0.39422	-0.7374	-0.45478	-0.95524	-0.68514	-0.81629	-0.51148	-0.83156	-0.80775	-0.59353	-0.21088	-0.3411	-0.51617	-0.51401	-0.59292	-0.52677	-0.01108	-0.33377	-0.55051
ABCC9 	-1.96059	-2.0911	-2.21095	-2.00838	-2.28809	-2.04375	-2.18008	-2.19825	-2.13353	-2.03875	-2.12302	-2.26946	-2.20997	-1.83122	-1.83952	-2.16932	-1.90725	-2.0632	-1.92246	-1.93685	-1.65089	-1.91543
LPAR1 	-0.0138	-0.39698	-0.43169	-0.26613	-0.15037	0.05123	-0.41623	-0.04076	-0.26967	-0.59252	-0.44071	-0.51225	-0.52375	0.67421	-0.0921	1.10465	0.65685	0.50347	0.91803	-0.49628	0.74574	1.59027
CD53 	1.94088	1.97609	2.32026	1.19259	2.10189	1.24232	1.14257	1.21799	1.06911	0.8518	1.3415	1.41363	0.83621	2.25548	1.79724	3.52801	3.84098	2.55263	2.99112	2.10165	3.70696	5.45063
NOTCH3 	-1.03501	-0.87416	-1.10623	-0.63173	-0.7569	-0.83947	-0.96344	-0.83687	-1.19278	-0.88971	-1.04956	-0.8821	-0.74366	-0.79578	-0.46847	-0.74196	-0.79349	-0.42807	-0.80257	-0.53145	-0.39479	-0.75695
RARRES3 	1.74644	2.08932	1.54901	2.19779	1.50432	1.91962	1.77952	3.39385	1.12184	1.28808	1.22511	1.59348	1.62505	2.74434	3.51012	3.68738	3.56113	2.82144	4.07314	1.63236	2.35421	2.33705
