"Ju CKD"
"Over-expression in Diabetic Nephropathy vs. Healthy Living Donor"
"Gene Rank","Gene Name","Gene Symbol","Reporter ID","t-Test","P-value","Q-value","Fold Change"
"3301","membrane-spanning 4-domains, subfamily A, member 1","MS4A1","931","0.85197526","0.20544279083033615","1.089829235739498","1.0990467"
"3302","transient receptor potential cation channel, subfamily C, member 4","TRPC4","7223","0.8375078","0.20548389182027926","1.0897174499043978","1.042606"
"3303","R3H domain containing 1","R3HDM1","23518","0.83516264","0.20570153278656456","1.090541671249279","1.0378431"
"3304","ribulose-5-phosphate-3-epimerase","RPE","6120","0.84328806","0.20593258008193466","1.091436447262192","1.0493556"
"3305","tumor necrosis factor receptor superfamily, member 1A","TNFRSF1A","7132","0.8408333","0.20622546078244003","1.092658298408049","1.0705554"
"3306","plexin A1","PLXNA1","5361","0.8421902","0.2063726389167821","1.0931076585960833","1.036798"
"3307","3-hydroxy-3-methylglutaryl-CoA reductase","HMGCR","3156","0.8302715","0.20684498010661606","1.0952785396763323","1.0684077"
"3308","WDYHV motif containing 1","WDYHV1","55093","0.8316124","0.2073094413025397","1.0974063961672043","1.0611457"
"3309","proline rich 14","PRR14","78994","0.8347122","0.20731549859033566","1.0971071086330957","1.0410765"
"3310","major histocompatibility complex, class II, DO beta","HLA-DOB","3112","0.8328723","0.20741841888356705","1.0973204430341925","1.10895"
"3311","nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4","NFATC4","4776","0.8366708","0.20747508964854222","1.097289045343995","1.0460535"
"3312","queuine tRNA-ribosyltransferase 1","QTRT1","81890","0.8344576","0.20780325126150012","1.0986930874390084","1.0528744"
"3313","density-regulated protein","DENR","8562","0.835751","0.20786681447027855","1.0986977253379289","1.0446754"
"3314","protein phosphatase, Mg2+/Mn2+ dependent, 1D","PPM1D","8493","0.82816625","0.20853530979165252","1.101898816616911","1.0621113"
"3315","minichromosome maintenance complex component 2","MCM2","4171","0.83482844","0.2086349405678285","1.1020930088403647","1.0670583"
"3316","KIAA0040","KIAA0040","9674","0.83244306","0.20913817639388677","1.1044184446085126","1.178456"
"3317","small G protein signaling modulator 2","SGSM2","9905","0.8255294","0.20932694218246933","1.1050823239855843","1.0495439"
"3318","poly(A) binding protein, cytoplasmic 3","PABPC3","5042","0.83315915","0.20940288856608946","1.1051503847930895","1.0803053"
"3319","transducin (beta)-like 3","TBL3","10607","0.8252667","0.20942080577924327","1.1049122404854896","1.0581046"
"3320","D-dopachrome tautomerase","DDT","1652","0.82930136","0.20959491002888925","1.1054980403479813","1.1166621"
"3321","adaptor-related protein complex 3, sigma 2 subunit","AP3S2","10239","0.82494533","0.2096041343758242","1.1052140984371452","1.0366831"
"3322","CD34 molecule","CD34","947","0.831243","0.2100401401977562","1.1071800112018264","1.1116486"
"3323","TBC1 domain family, member 2B","TBC1D2B","23102","0.82052815","0.2103132043864266","1.1082860893809077","1.0579098"
"3324","peptidylprolyl isomerase E (cyclophilin E)","PPIE","10450","0.8283397","0.21032989129542046","1.1080408790907226","1.0658158"
"3325","solute carrier family 35, member D2","SLC35D2","11046","0.8193495","0.2105483178685244","1.108858283437989","1.0279734"
"3326","kinetochore associated 1","KNTC1","9735","0.82904285","0.21096942340008756","1.1107422901572048","1.0813733"
"3327","RNA polymerase II associated protein 1","RPAP1","26015","0.82174087","0.21115859850639457","1.1114044312377112","1.048783"
"3328","homer homolog 2 (Drosophila)","HOMER2","9455","0.82915753","0.2112815342645248","1.1117176376626619","1.0670983"
"3329","pituitary tumor-transforming 1","PTTG1","9232","0.817667","0.21129436202581148","1.111451465554141","1.1463252"
"3330","nuclear factor (erythroid-derived 2), 45kDa","NFE2","4778","0.81504023","0.21153265684208605","1.1123711000513778","1.0357926"
"3331","cyclin H","CCNH","902","0.8259569","0.21169625614278254","1.1128975049233802","1.046344"
"3332","UDP-glucose 6-dehydrogenase","UGDH","7358","0.8247533","0.2118093088603213","1.113157947944483","1.111621"
"3333","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","NR3C1","2908","0.81660795","0.21198019841958565","1.1137221036271217","1.0796505"
"3334","alanyl-tRNA synthetase","AARS","16","0.8169298","0.212007868340721","1.11353368546833","1.043863"
"3335","HemK methyltransferase family member 1","HEMK1","51409","0.81783736","0.21202926883658468","1.113312461024212","1.0557462"
"3336","amyloid beta (A4) precursor protein-binding, family A, member 2","APBA2","321","0.8232608","0.2120926394785912","1.113311677790137","1.0584501"
"3337","transmembrane protein 177","TMEM177","80775","0.8219995","0.21224760736150955","1.113791561145263","1.1014761"
"3338","SCAN domain containing 1","SCAND1","51282","0.8211049","0.21231566098469884","1.1138152020589096","1.0984193"
"3339","deoxyribonuclease II, lysosomal","DNASE2","1777","0.8228112","0.21244503773611012","1.114160435787194","1.0627836"
"3340","hydroxysteroid (11-beta) dehydrogenase 1","HSD11B1","3290","0.8226748","0.2125407230408703","1.1143288222367136","1.0863584"
"3341","chemokine (C-X-C motif) ligand 11","CXCL11","6373","0.81342983","0.21268153045839489","1.114733607758459","1.1691282"
"3342","neural precursor cell expressed, developmentally down-regulated 4","NEDD4","4734","0.80979824","0.2127431157455278","1.1147230462397206","1.0607996"
"3343","peptidylprolyl isomerase H (cyclophilin H)","PPIH","10465","0.8210259","0.21308929782083147","1.1162032644667403","1.0824406"
"3344","chymase 1, mast cell","CMA1","1215","0.8245568","0.21317588914958122","1.1163232175454765","1.0803579"
"3345","casein kinase 1, gamma 2","CSNK1G2","1455","0.8156222","0.21348626737015758","1.1176146380515986","1.0470399"
"3346","ATP-binding cassette, sub-family C (CFTR/MRP), member 1","ABCC1","4363","0.8156566","0.21355199728152657","1.1176249197830148","1.060636"
"3347","p21 protein (Cdc42/Rac)-activated kinase 2","PAK2","5062","0.8124569","0.21385697481325222","1.1188869246423498","1.0392205"
"3348","pituitary tumor-transforming 3 (pseudogene)","PTTG3P","26255","0.813574","0.2142287711611397","1.1204976640230664","1.0720142"
"3349","Fas apoptotic inhibitory molecule","FAIM","55179","0.8118849","0.21436107138302934","1.120855160540082","1.0768465"
"3350","thioredoxin domain containing 5 (endoplasmic reticulum)","TXNDC5","81567","0.8071092","0.21492280480723902","1.1234572024624152","1.0928464"
"3351","mitochondrial ribosomal protein L34","MRPL34","64981","0.8068725","0.21547847977233064","1.12602603308576","1.0677137"
"3352","family with sequence similarity 46, member A","FAM46A","55603","0.7992429","0.215755965254955","1.1271400307074804","1.1153556"
"3353","chromosome 19 open reading frame 21","C19orf21","126353","0.8065223","0.21590062691745787","1.1275596805668309","1.0577542"
"3354","RD RNA binding protein","RDBP","7936","0.80347025","0.2160202976704758","1.127848602106175","1.0972731"
"3355","RAD54-like (S. cerevisiae)","RAD54L","8438","0.81107885","0.21604364268778947","1.127634581711997","1.0824783"
"3356","casein kinase 2, alpha 1 polypeptide","CSNK2A1","1457","0.8117425","0.21611071806593754","1.1276488703607286","1.0442282"
"3357","myosin phosphatase Rho interacting protein","MPRIP","23164","0.79750043","0.21644244409464541","1.1290436659663243","1.0743575"
"3358","wingless-type MMTV integration site family, member 4","WNT4","54361","0.8065028","0.2164507356805715","1.1287509801467945","1.0899916"
"3359","FIC domain containing","FICD","11153","0.8064318","0.21684052257103437","1.1304473049085424","1.0973173"
"3360","N-ethylmaleimide-sensitive factor","NSF","4905","0.79860604","0.2170197385195473","1.1310451849634569","1.0488938"
"3361","Sec61 beta subunit","SEC61B","10952","0.80364335","0.21702430454250915","1.1307327543747199","1.0459175"
"3362","coiled-coil domain containing 90B","CCDC90B","60492","0.7988164","0.2170416809651899","1.1304872339604408","1.05601"
"3363","general transcription factor IIIC, polypeptide 5, 63kDa","GTF3C5","9328","0.80619895","0.2171290627564882","1.1306063823330268","1.0607204"
"3364","ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa","UQCRQ","27089","0.8037145","0.21720082153704967","1.1306441339708553","1.100706"
"3365","ubiquitin specific peptidase 48","USP48","84196","0.7943726","0.21821310350557233","1.1355763257548","1.0245489"
"3366","hypoxia inducible factor 1, alpha subunit inhibitor","HIF1AN","55662","0.7925793","0.21823871327622335","1.135372492606817","1.0357795"
"3367","phosphoglycolate phosphatase","PGP","283871","0.7984776","0.21848846687216933","1.136334527854158","1.0589777"
"3368","chromosome 6 open reading frame 64","C6orf64","55776","0.79625523","0.21868776685636543","1.1370336664762732","1.0424247"
"3369","mitogen-activated protein kinase kinase kinase 12","MAP3K12","7786","0.79464805","0.21910811409895709","1.1388813510712992","1.0445698"
"3370","killer cell lectin-like receptor subfamily C, member 3","KLRC3","3823","0.7891974","0.21927799522335856","1.1394264519062571","1.023388"
"3371","coiled-coil domain containing 92","CCDC92","80212","0.79004407","0.21934590035174772","1.139441492431856","1.041944"
"3372","cytochrome b5 reductase 1","CYB5R1","51706","0.7976232","0.2197651207061122","1.1412809690714159","1.0939463"
"3373","zinc finger protein 536","ZNF536","9745","0.7950575","0.21994601058961816","1.1418820283187907","1.0784745"
"3374","neurofilament, heavy polypeptide","NEFH","4744","0.7923409","0.22019039192460466","1.1428122591834604","1.1272678"
"3375","NEDD4 binding protein 1","N4BP1","9683","0.78224343","0.22036184302970374","1.1433635354593301","1.0196145"
"3376","eukaryotic translation initiation factor 4 gamma, 2","EIF4G2","1982","0.7903673","0.22043881080823163","1.1434243968735947","1.0378191"
"3377","golgi-associated, gamma adaptin ear containing, ARF binding protein 1","GGA1","26088","0.7821458","0.22052803876890226","1.1435487974859615","1.0589262"
"3378","ATP-binding cassette, sub-family B (MDR/TAP), member 1","ABCB1","5243","0.78739595","0.22096627841556876","1.145482390354828","1.1572275"
"3379","ATPase, H+ transporting, lysosomal accessory protein 1","ATP6AP1","537","0.79433614","0.22109202347639484","1.1457953564372478","1.138072"
"3380","ubiquitin associated and SH3 domain containing A","UBASH3A","53347","0.793321","0.221235370665961","1.146199332445255","1.045736"
"3381","armadillo repeat containing, X-linked 5","ARMCX5","64860","0.7785822","0.221486767699908","1.1471627001998486","1.0403341"
"3382","matrix metallopeptidase 10 (stromelysin 2)","MMP10","4319","0.787675","0.22173902855161948","1.1481299714694932","1.0365479"
"3383","FOS-like antigen 1","FOSL1","8061","0.78117627","0.22180443398659594","1.1481294490499312","1.0536009"
"3384","immunoglobulin superfamily, member 3","IGSF3","3321","0.78458714","0.22196919861600967","1.1486430895018604","1.0699499"
"3385","low density lipoprotein receptor-related protein associated protein 1","LRPAP1","4043","0.78902185","0.22216284990853213","1.149305864919375","1.0706806"
"3386","runt-related transcription factor 1; translocated to, 1 (cyclin D-related)","RUNX1T1","862","0.77640754","0.22294876554552917","1.1530312817103836","1.0467525"
"3387","ribosomal protein S13","RPS13","6207","0.77729607","0.2230402161877834","1.153163973192708","1.0492749"
"3388","G protein-coupled receptor 176","GPR176","11245","0.7816661","0.22306214145535153","1.1529372318749473","1.0622389"
"3389","chemokine (C-C motif) ligand 14","CCL14","6358","0.7859913","0.22325508353931078","1.1535942951631781","1.1827011"
"3390","ASF1 anti-silencing function 1 homolog B (S. cerevisiae)","ASF1B","55723","0.7771805","0.2233681386356799","1.1538383041165816","1.0609721"
"3391","EPS8-like 1","EPS8L1","54869","0.77801096","0.22349431893596533","1.1541499493195828","1.0468653"
"3392","aprataxin","APTX","54840","0.78172934","0.2239810081235621","1.1563225712464427","1.0424154"
"3393","mitochondrial poly(A) polymerase","MTPAP","55149","0.7776499","0.2239895244803103","1.1560260293187274","1.0563064"
"3394","cytochrome P450, family 1, subfamily B, polypeptide 1","CYP1B1","1545","0.7769539","0.22527761165897292","1.162331674873953","1.1120763"
"3395","G protein-coupled receptor 107","GPR107","57720","0.7747897","0.22560267676199414","1.1636663083011982","1.0645454"
"3396","NADH dehydrogenase (ubiquinone) Fe-S protein 2, 49kDa (NADH-coenzyme Q reductase)","NDUFS2","4720","0.7736018","0.22561001093329125","1.163361771588054","1.047596"
"3397","six transmembrane epithelial antigen of the prostate 1","STEAP1","26872","0.7718351","0.22607391592489784","1.1654110365928483","1.122417"
"3398","malate dehydrogenase 2, NAD (mitochondrial)","MDH2","4191","0.771463","0.22608024918458064","1.1651010077795192","1.0675449"
"3399","SATB homeobox 1","SATB1","6304","0.7632253","0.22618757770667774","1.1653114857333748","1.0632129"
"3400","huntingtin","HTT","3064","0.76335794","0.22620123770440703","1.1650394044211407","1.0302526"
"3401","bromodomain containing 8","BRD8","10902","0.76711947","0.22665302533629178","1.1670233769298433","1.0372193"
"3402","DENN/MADD domain containing 4A","DENND4A","10260","0.7666897","0.2269170332160218","1.1680396009331024","1.0385447"
"3403","geranylgeranyl diphosphate synthase 1","GGPS1","9453","0.7666834","0.22695677095190547","1.1679011522237366","1.0445426"
"3404","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","ICAM4","3386","0.7630002","0.22729331288551707","1.16928966684604","1.0534805"
"3405","far upstream element (FUSE) binding protein 1","FUBP1","8880","0.7661149","0.227373604046113","1.1693594947524129","1.0470328"
"3406","phospholipase C, beta 2","PLCB2","5330","0.76186985","0.2274122288506516","1.169215058687407","1.0440702"
"3407","pentatricopeptide repeat domain 1","PTCD1","26024","0.7707536","0.2275717143736437","1.1696919172512765","1.0487634"
"3408","ribosomal protein S4, Y-linked 1","RPS4Y1","6192","0.7588681","0.22766389290556782","1.169822647597739","1.7149518"
"3409","hydroxysteroid (17-beta) dehydrogenase 4","HSD17B4","3295","0.7662636","0.22776291457583064","1.1699884536256107","1.0586706"
"3410","zinc finger protein 22 (KOX 15)","ZNF22","7570","0.75724536","0.2279438426711018","1.1705747818624088","1.0303462"
"3411","MAD2 mitotic arrest deficient-like 1 (yeast)","MAD2L1","4085","0.76968384","0.2280274219834298","1.1706609915359032","1.0768709"
"3412","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1","SMARCB1","6598","0.7562414","0.22858410715084343","1.1731752989847242","1.049334"
"3413","Sjogren syndrome/scleroderma autoantigen 1","SSSCA1","10534","0.76386064","0.2286167285572291","1.1729992392923168","1.0769686"
"3414","clusterin-like 1 (retinal)","CLUL1","27098","0.75797254","0.2287371909410889","1.173273850051058","1.1300827"
"3415","SEC31 homolog A (S. cerevisiae)","SEC31A","22872","0.7623282","0.22904928531006552","1.1745309606873957","1.0419048"
"3416","baculoviral IAP repeat-containing 2","BIRC2","329","0.7520466","0.22995241962106017","1.1788172151793863","1.0302671"
"3417","sortilin-related receptor, L(DLR class) A repeats-containing","SORL1","6653","0.7488842","0.22999242261375302","1.1786775412722952","1.0826341"
"3418","ADAM metallopeptidase domain 9 (meltrin gamma)","ADAM9","8754","0.7575991","0.23031048899253892","1.179962566668293","1.1040183"
"3419","small nuclear RNA activating complex, polypeptide 2, 45kDa","SNAPC2","6618","0.75126034","0.23055660168788733","1.1808783044370548","1.0351897"
"3420","RNA binding motif protein 16","RBM16","22828","0.75703627","0.23062626105433537","1.1808900021908666","1.0713266"
"3421","synuclein, alpha (non A4 component of amyloid precursor)","SNCA","6622","0.7535437","0.23063113100751764","1.1805700447338672","1.1210719"
"3422","TBC1 domain family, member 4","TBC1D4","9882","0.7535695","0.2307186354266746","1.1806731454374673","1.0794569"
"3423","acetoacetyl-CoA synthetase","AACS","65985","0.7533955","0.23088691367480169","1.1811894150549473","1.067869"
"3424","solute carrier family 29 (nucleoside transporters), member 1","SLC29A1","2030","0.75339615","0.2309671227758085","1.1812549637851169","1.1028403"
"3425","thyroid hormone receptor interactor 12","TRIP12","9320","0.750479","0.23143703394511905","1.1833129795671242","1.0381083"
"3426","tetraspanin 31","TSPAN31","6302","0.7548178","0.23148829671181081","1.1832299143971736","1.0683054"
"3427","UDP glycosyltransferase 8","UGT8","7368","0.7451634","0.2315518636746201","1.1832097710277163","1.0795857"
"3428","5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase","ATIC","471","0.7495773","0.23195122247240485","1.184905006200478","1.0507536"
"3429","chromatin modifying protein 1A","CHMP1A","5119","0.7448081","0.23198919016867775","1.1847536527058318","1.0482274"
"3430","ADP-ribosylation factor GTPase activating protein 3","ARFGAP3","26286","0.7503731","0.23210946159242601","1.185022584716123","1.066856"
"3431","ATG4 autophagy related 4 homolog B (S. cerevisiae)","ATG4B","23192","0.74980545","0.23230595077508842","1.185680372520377","1.0440371"
"3432","G protein-coupled receptor 182","GPR182","11318","0.75082755","0.23233187893170415","1.1854674940424974","1.0475401"
"3433","ubiquinol-cytochrome c reductase hinge protein","UQCRH","7388","0.7457104","0.23259103792924296","1.1864444475511762","1.0647373"
"3434","protein phosphatase 1, regulatory (inhibitor) subunit 12A","PPP1R12A","4659","0.7499502","0.23281943053363502","1.1872639391803959","1.0478534"
"3435","ribosome binding protein 1 homolog 180kDa (dog)","RRBP1","6238","0.7386124","0.2328498811100792","1.187073841249668","1.033341"
"3436","cyclin-dependent kinase 16","CDK16","5127","0.7445864","0.2331336408376572","1.1881748540161725","1.0329281"
"3437","DEAD (Asp-Glu-Ala-Asp) box polypeptide 56","DDX56","54606","0.74842095","0.23334079435650334","1.1888849135716377","1.0595536"
"3438","ets variant 1","ETV1","2115","0.7467985","0.23343570772982697","1.1890228565477121","1.034154"
"3439","anaphase promoting complex subunit 2","ANAPC2","29882","0.73872983","0.23359828264289068","1.1895052585363","1.0470622"
"3440","zinc finger protein 8","ZNF8","7554","0.74331385","0.23374089816574095","1.1898857746590015","1.0455006"
"3441","immunoglobulin heavy variable 3-9","IGHV3-9","28451","0.74993414","0.2337487053619403","1.189580011288829","1.1077954"
"3442","DnaJ (Hsp40) homolog, subfamily C, member 10","DNAJC10","54431","0.7451161","0.23388380720746288","1.1899220577431646","1.0633882"
"3443","chromosome 19 open reading frame 42","C19orf42","79086","0.7448299","0.2340389537392331","1.190365856699808","1.0397269"
"3444","tripartite motif-containing 28","TRIM28","10155","0.74229795","0.23409611421711018","1.1903111673580766","1.0616567"
"3445","angel homolog 2 (Drosophila)","ANGEL2","90806","0.73593426","0.2343120627896571","1.1910636672025292","1.0296774"
"3446","tubulin, beta 2C","TUBB2C","10383","0.74194926","0.23432996013263074","1.190809281311864","1.049067"
"3447","zinc finger protein 544","ZNF544","27300","0.7406404","0.23436853325798557","1.1906600818587574","1.0428388"
"3448","interleukin 6 (interferon, beta 2)","IL6","3569","0.7439691","0.23480502435805845","1.192531921739696","1.0487417"
"3449","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2","SLC7A2","6542","0.7413868","0.23481222215446984","1.1922230062866146","1.0520406"
"3450","spectrin, beta, non-erythrocytic 5","SPTBN5","51332","0.7396713","0.2350425412819378","1.1930468059798793","1.0475217"
"3451","translocase of inner mitochondrial membrane 17 homolog A (yeast)","TIMM17A","10440","0.74273765","0.2352363508592511","1.1936848643630844","1.0386182"
"3452","solute carrier family 6 (proline IMINO transporter), member 20","SLC6A20","54716","0.7412473","0.2355496370170378","1.1949286506505417","1.048229"
"3453","glucose 6 phosphatase, catalytic, 3","G6PC3","92579","0.7319668","0.23558515604966151","1.1947630295377365","1.039203"
"3454","RAB20, member RAS oncogene family","RAB20","55647","0.7387753","0.23568740245437153","1.1949358122122562","1.0711735"
"3455","SH3-domain GRB2-like 3","SH3GL3","6457","0.7362262","0.2358368530626762","1.195347751194195","1.0557716"
"3456","ATP-binding cassette, sub-family A (ABC1), member 1","ABCA1","19","0.7369155","0.2359849996443858","1.1957528443964007","1.1460303"
"3457","GTP binding protein 2","GTPBP2","54676","0.73123425","0.23613748526049944","1.1961796832834604","1.0516872"
"3458","origin recognition complex, subunit 2-like (yeast)","ORC2L","4999","0.74027824","0.23614769130429425","1.1958857513696521","1.0765011"
"3459","zinc finger, AN1-type domain 3","ZFAND3","60685","0.7344896","0.23621906289113792","1.195901650864522","1.0523617"
"3460","preferentially expressed antigen in melanoma","PRAME","23532","0.7407814","0.23638605868427198","1.1964015161880552","1.0731409"
"3461","receptor (G protein-coupled) activity modifying protein 1","RAMP1","10267","0.72869235","0.23658410267468677","1.1970581892549754","1.1517049"
"3462","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)","GALNT14","79623","0.7315576","0.236686615534412","1.1972312584333733","1.0861012"
"3463","ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit","ATP5O","539","0.73551136","0.23670520066521383","1.1969798188283909","1.0653576"
"3464","insulin-like growth factor binding protein 7","IGFBP7","3490","0.7350774","0.23671976962457736","1.196708221000856","1.0657527"
"3465","potassium voltage-gated channel, shaker-related subfamily, beta member 1","KCNAB1","7881","0.7319529","0.23679233228231683","1.196729875407199","1.0236032"
"3466","ATPase, H+ transporting, lysosomal V0 subunit a1","ATP6V0A1","535","0.7323894","0.23698835529696105","1.197375296422553","1.0305303"
"3467","adaptor-related protein complex 2, beta 1 subunit","AP2B1","163","0.73041713","0.2370017385526333","1.197097830435736","1.0379851"
"3468","acyl-CoA dehydrogenase, very long chain","ACADVL","37","0.7322517","0.23702673733683322","1.196879177557671","1.084233"
"3469","excision repair cross-complementing rodent repair deficiency, complementation group 6","ERCC6","2074","0.7310922","0.23703847107819614","1.196593687381205","1.0473248"
"3470","thioredoxin-like 4A","TXNL4A","10907","0.7350326","0.2370645107670657","1.1963805586565968","1.0265507"
"3471","extended synaptotagmin-like protein 1","ESYT1","23344","0.7296091","0.23708317017818936","1.196130317706714","1.0481309"
"3472","collagen, type XVIII, alpha 1","COL18A1","80781","0.725627","0.23735908508674658","1.1971777508821315","1.0761477"
"3473","transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)","TCEB1","6921","0.731537","0.2377549753770798","1.198829532058135","1.0536599"
"3474","sorting nexin 16","SNX16","64089","0.726611","0.237938195715246","1.1994083279554548","1.071723"
"3475","triosephosphate isomerase 1","TPI1","7167","0.7282349","0.2381447454274494","1.2001043568449987","1.0772201"
"3476","zinc finger protein 137","ZNF137","7696","0.72285247","0.2381646781910085","1.1998598202511659","1.0551087"
"3477","proteasome (prosome, macropain) 26S subunit, non-ATPase, 11","PSMD11","5717","0.725859","0.23820738067954678","1.1997301037846024","1.0663319"
"3478","synovial sarcoma translocation gene on chromosome 18-like 2","SS18L2","51188","0.7313445","0.23832115664859926","1.1999583201896005","1.056091"
"3479","polyhomeotic homolog 2 (Drosophila)","PHC2","1912","0.72790116","0.23858983040471055","1.200966099225549","1.0471026"
"3480","serine peptidase inhibitor, Kunitz type 1","SPINT1","6692","0.72934383","0.23859480037640352","1.2006463009466621","1.085803"
"3481","alpha-methylacyl-CoA racemase","AMACR","23600","0.73133767","0.2389416147137881","1.2020464067418382","1.1040932"
"3482","regulatory factor X, 2 (influences HLA class II expression)","RFX2","5990","0.7201648","0.23894265803558157","1.2017067338277299","1.0342888"
"3483","tolloid-like 2","TLL2","7093","0.7291854","0.23904369264150854","1.2018699945288929","1.0382651"
"3484","solute carrier family 12 (potassium/chloride transporters), member 4","SLC12A4","6560","0.7219463","0.23922245618685778","1.2024238570654018","1.0280104"
"3485","coiled-coil domain containing 94","CCDC94","55702","0.7262307","0.23942910054073435","1.203117501484361","1.0414898"
"3486","zinc finger and SCAN domain containing 2","ZSCAN2","54993","0.72223765","0.23982254575145934","1.204749142844892","1.0266148"
"3487","phospholipase A2, group XV","PLA2G15","23659","0.72552747","0.23993119828688153","1.2049496023994763","1.0818657"
"3488","glutathione peroxidase 4 (phospholipid hydroperoxidase)","GPX4","2879","0.7219464","0.2404203844700194","1.2070604636511115","1.0860708"
"3489","polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa","POLR2I","5438","0.72086644","0.24080475526259032","1.2086440279173598","1.0569022"
"3490","KIAA1598","KIAA1598","57698","0.7214926","0.24143387408250327","1.2114547698379716","1.076358"
"3491","RNA binding motif, single stranded interacting protein 3","RBMS3","27303","0.7202376","0.2418074553129026","1.2129820461560514","1.0775585"
"3492","RAB22A, member RAS oncogene family","RAB22A","57403","0.7175674","0.2423462747554595","1.2153370980368923","1.040858"
"3493","EF-hand domain (C-terminal) containing 2","EFHC2","80258","0.712955","0.24237763970041115","1.2151467079602707","1.0643862"
"3494","coronin, actin binding protein, 1B","CORO1B","57175","0.71217567","0.24250625201280263","1.2154438315780358","1.0258298"
"3495","ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)","FCN2","2220","0.7204495","0.24274525065889446","1.2162938845907498","1.1069102"
"3496","proteoglycan 4","PRG4","10216","0.7172906","0.2428328614313756","1.2163851278387312","1.0286419"
"3497","peripherin 2 (retinal degeneration, slow)","PRPH2","5961","0.7111551","0.24325733250151532","1.2181632190725884","1.0664206"
"3498","vav 3 guanine nucleotide exchange factor","VAV3","10451","0.71125156","0.24341426477771383","1.218600919382745","1.1117917"
"3499","RWD domain containing 1","RWDD1","51389","0.71375984","0.24350318114731972","1.2186979600140129","1.0552334"
"3500","chromosome 2 open reading frame 49","C2orf49","79074","0.7074586","0.24352276582223398","1.2184480492624308","1.0325402"
"3501","THAP domain containing 11","THAP11","57215","0.7083551","0.24365272497922263","1.2187503740613115","1.0439107"
"3502","hyaluronoglucosaminidase 2","HYAL2","8692","0.7113084","0.24381145760434703","1.2191964101088133","1.1016128"
"3503","ribosomal protein L23","RPL23","9349","0.7125765","0.24394455285068872","1.219514026758135","1.084958"
"3504","family with sequence similarity 124B","FAM124B","79843","0.71038204","0.24423409423943748","1.220613336109102","1.0520678"
"3505","aminopeptidase-like 1","NPEPL1","79716","0.70489186","0.2444344722550701","1.2212665322732648","1.0297266"
"3506","cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)","COX6B1","1340","0.7077624","0.24443957500566305","1.2209439815116148","1.0441862"
"3507","KIAA0125","KIAA0125","9834","0.7136271","0.24445255329096666","1.2206609406070577","1.0864315"
"3508","B-cell CLL/lymphoma 7C","BCL7C","9274","0.7052248","0.24486516485470616","1.2223730402758288","1.0559183"
"3509","prepronociceptin","PNOC","5368","0.70804733","0.24491611508566052","1.222279256579263","1.0672768"
"3510","BRCA1/BRCA2-containing complex, subunit 3","BRCC3","79184","0.7040685","0.24518489029812746","1.2232722949773072","1.0496559"
"3511","acetyl-CoA acetyltransferase 2","ACAT2","39","0.70115787","0.24575135484057803","1.2257495720804812","1.0510896"
"3512","interferon regulatory factor 9","IRF9","10379","0.69630295","0.245995215329459","1.2266168247736637","1.040937"
"3513","abhydrolase domain containing 3","ABHD3","171586","0.70473295","0.24604941590261786","1.2265381434940794","1.0515095"
"3514","superkiller viralicidic activity 2-like (S. cerevisiae)","SKIV2L","6499","0.69810253","0.24615655097123218","1.22672330647506","1.0368013"
"3515","protein kinase C and casein kinase substrate in neurons 2","PACSIN2","11252","0.69753","0.24668072167749233","1.2289860741448007","1.0339727"
"3516","ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)","CLPP","8192","0.70286953","0.2468987465915507","1.229722742685453","1.0868708"
"3517","Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)","PAF1","54623","0.70181537","0.24705984080249443","1.2301755198140114","1.03935"
"3518","proline rich 16","PRR16","51334","0.7011249","0.24741997866346677","1.231618848632372","1.0546217"
"3519","kinesin light chain 1","KLC1","3831","0.6987057","0.24769428493404416","1.2326342226118658","1.0582894"
"3520","chemokine (C-X-C motif) ligand 9","CXCL9","4283","0.69501126","0.2480324192928921","1.2339665662635595","1.2272496"
"3521","axin interactor, dorsalization associated","AIDA","64853","0.6937238","0.24807483336282593","1.2338273565125568","1.0789728"
"3522","zinc finger and BTB domain containing 48","ZBTB48","3104","0.6939857","0.24889127992469667","1.2375368690043003","1.054778"
"3523","interleukin 1 receptor accessory protein","IL1RAP","3556","0.6938283","0.24900499103531976","1.2377511281554308","1.0736333"
"3524","XIAP associated factor 1","XAF1","54739","0.68441075","0.24954651951256568","1.2400912524799372","1.0812719"
