	CD1	CD2	CD3	CD4	LD1	LD2	LD3	DN1	DN10	DN11	DN2	DN3	DN4	DN5	DN6	DN7	DN8	DN9
ITM2C 	3.23156	2.80755	2.67661	2.52505	2.49321	2.29874	2.36276	2.34013	4.09882	3.7678	3.24062	4.08753	3.40424	3.79774	3.90675	2.64484	3.1693	4.47848
MMRN2 	-1.14063	-1.0057	-1.47617	-0.88652	-0.95446	-1.27947	-1.28517	-0.81768	-0.56628	-0.75016	-0.7965	-0.47718	-0.29961	-1.13112	-0.60468	-0.92703	-0.72538	-0.8144
TCF4 	-1.21562	-1.27216	-1.29408	-0.94686	-1.21068	-1.12088	-1.17517	-1.04697	-0.64813	-1.00834	-0.9751	-0.86595	-1.13898	-1.07732	-0.89669	-0.69533	-0.949	-0.87997
HBG1 	0.26383	0.09604	0.0923	0.20539	0.05014	0.45314	0.31981	0.40037	0.35407	0.45888	0.4416	0.66026	0.15775	0.72624	0.57364	0.70061	0.68318	0.49943
ARL6IP5 	2.41965	2.90958	2.51876	2.36324	2.27585	1.94581	2.33668	2.43165	3.66138	2.93341	2.89599	2.85167	3.29457	2.86412	2.89503	2.72481	2.98548	3.70094
ALOX5 	-0.26508	-0.53401	-0.45663	-0.16374	-0.31851	-0.33651	-0.16415	0.14347	-0.21814	0.25158	0.04131	-0.07194	-0.11365	-0.19526	0.08449	0.09215	0.29239	-0.35088
B4GALT1 	-1.29145	-1.50527	-1.35345	-1.20839	-1.21422	-1.4274	-1.23854	-1.13788	-1.16112	-0.77806	-1.2783	-1.22424	-1.1295	-1.05143	-0.98955	-1.12857	-1.05325	-0.98782
FAM115A 	-1.67255	-1.63897	-1.757	-1.78011	-1.64894	-1.7122	-1.5426	-1.3961	-1.10331	-1.30139	-1.676	-1.26853	-1.45278	-1.59615	-1.56296	-1.36087	-1.07039	-0.74877
BCAS4 	4.41913	4.62384	4.47552	4.66839	4.46047	4.21118	4.24509	4.28605	5.56916	4.70458	5.02522	5.71227	5.25092	4.81337	5.57365	4.51847	4.93057	5.4581
TMSL6 	4.41913	4.62384	4.47552	4.66839	4.46047	4.21118	4.24509	4.28605	5.56916	4.70458	5.02522	5.71227	5.25092	4.81337	5.57365	4.51847	4.93057	5.4581
CX3CR1 	-0.15633	-0.12392	0.27296	0.21968	-0.5522	-0.39974	0.75524	0.75572	1.28036	0.20353	1.14432	2.91467	1.835	0.68737	2.5155	0.21361	1.25493	0.75095
SIGLEC6 	0.67516	0.82595	0.88346	0.81542	0.76515	0.86911	0.97895	0.90691	1.51197	1.50218	1.01303	0.89736	1.03886	1.02843	1.03079	1.03468	1.15338	1.42062
CHODL 	-0.43504	-0.02184	0.27279	-0.14334	-0.41107	-0.24868	-0.15859	0.16809	0.99603	-0.04387	0.45782	0.37378	1.05847	0.11814	0.74449	0.18942	0.17479	0.16447
EEF1G 	6.71441	6.50091	6.4801	6.58644	6.49679	6.74701	6.3354	6.83076	6.87521	7.12763	6.70489	6.87858	6.80181	6.67515	6.98998	6.58601	6.85754	6.86464
EXTL2 	1.33488	1.50381	1.33973	1.60964	1.28014	1.42564	1.49096	1.62321	2.03682	1.71733	1.74014	1.98165	1.35463	1.77082	1.61104	1.58163	1.568	1.83008
KDM6B 	0.24209	0.36401	0.28734	0.30796	0.5036	0.42104	0.26841	0.58081	0.57884	0.55904	0.5155	0.4743	0.38414	0.35629	0.48767	0.76627	0.62587	0.56036
AZIN1 	-1.13959	-0.82737	-0.88273	-0.89151	-0.83107	-0.9355	-0.802	-0.54398	-0.45312	-0.68906	-0.73822	-0.94212	-0.60557	-0.67297	-0.68227	-0.60406	-0.82319	-0.58338
DOCK1 	1.21432	1.13755	0.90892	0.93551	0.96043	0.77254	0.61013	1.23478	1.59018	1.32214	1.13259	1.37981	0.96991	1.17927	1.35805	1.66599	1.27837	1.77194
TBC1D4 	0.48266	0.43867	0.13622	0.99494	0.64068	0.29099	0.79606	1.34818	0.73061	0.42177	1.07945	1.98295	1.07528	1.48769	1.05421	1.15707	1.18256	1.79272
IFNA17 	-0.19184	-0.27237	-0.23419	-0.23034	-0.45197	-0.35824	-0.00531	0.00828	0.16939	0.10745	-0.02445	-0.20075	-0.0416	-0.18685	-0.06854	0.48356	0.37367	0.24216
SERP1 	1.67153	1.67038	1.59878	2.14258	1.43215	1.72443	1.95045	2.22906	2.18697	1.86798	2.16872	2.23963	2.04287	2.32681	2.00943	2.48096	2.08585	2.45082
EIF4A2 	5.63416	5.62541	5.67411	5.1909	5.68555	5.85549	5.71442	5.8715	6.1311	5.82487	5.94052	5.98762	6.11627	5.8264	5.86343	6.17893	6.19251	6.28509
SSR1 	3.63444	3.38291	3.48472	4.03051	3.29951	3.48475	3.38655	3.75534	4.34405	3.89023	4.13185	4.11699	4.00154	3.94992	4.04585	3.81964	3.70617	4.20694
NCF2 	-0.84144	-0.73654	-0.8378	-0.84956	-1.06676	-0.92691	-0.81634	-0.85803	-0.42202	-0.82064	-0.57358	0.22206	-0.46012	-0.47944	-0.2316	-0.79994	-0.25408	-0.18839
RPS17 	6.44461	6.16499	6.32174	6.5997	6.37987	6.67516	6.27438	6.76205	6.72773	6.89309	6.73842	6.76272	6.94559	6.61618	6.97771	6.58662	6.58917	6.66213
OPHN1 	3.65626	3.89239	3.70755	3.58344	3.97337	3.798	3.72667	3.84247	6.41934	5.88544	4.03304	3.98038	4.80363	4.26575	4.52648	5.4477	5.4316	6.21955
LCK 	-0.47617	-0.55759	-0.73284	-0.69002	-0.61313	-0.4145	-0.59962	-0.55246	-0.09422	-0.30215	-0.21574	0.31494	-0.39371	-0.35449	0.15577	-0.4355	-0.38062	-0.30097
ERBB4 	0.59392	0.18505	0.45177	1.89054	1.53544	0.66806	1.93235	2.23336	2.02503	1.75859	2.53115	3	3.00939	2.41757	2.67648	1.7397	1.93207	3.25509
RIOK3 	1.06672	0.90259	1.08014	0.6597	1.26244	1.07434	1.32435	1.14415	2.45806	1.70117	1.51656	2.30192	1.29776	1.16005	1.21355	1.76122	2.0743	2.29475
TTC3 	3.2563	2.9256	2.88072	2.9414	2.84962	2.64781	2.91004	3.35737	3.18752	3.57162	2.98925	3.56446	3.38838	3.24414	3.71801	3.13701	2.85151	3.48136
VNN3 	-0.36661	-0.60959	-0.59216	-0.56932	-0.51781	-0.60743	-0.75207	-0.32558	0.04758	-0.09987	-0.46243	-0.63917	-0.34969	-0.36309	-0.45222	-0.19823	-0.27104	-0.06269
RECK 	2.07172	2.19659	2.37836	1.77022	2.26007	2.29306	2.04789	2.10254	4.55338	4.12104	2.5752	2.09699	3.07416	2.70477	3.02905	3.89269	4.12931	4.51014
MAN1A1 	-0.33809	-0.35511	-0.47664	-0.11192	-0.72157	-0.8993	-0.12618	0.50649	0.08628	-0.39156	0.06011	-0.31368	0.09253	0.19692	0.41054	0.33741	-0.02368	0.61317
HNRNPH1 	4.43921	4.82843	4.53749	4.87632	5.32465	4.41284	4.95062	4.93854	6.08133	5.11467	5.2382	5.89633	5.18236	5.02487	5.58554	5.53068	5.26251	5.8597
SELP 	1.14678	0.87942	1.12346	0.91843	0.56184	0.99259	1.10697	0.7791	1.65238	1.5143	1.21492	2.39249	1.95516	1.26786	1.89832	1.09557	1.6851	1.88176
PLK1S1 	0.76841	0.93101	0.79	0.97498	0.65947	1.01685	0.75557	1.24928	1.32688	1.06063	1.2356	1.07363	1.23538	1.35318	1.19374	0.75321	1.21598	2.02138
HAL 	-1.69247	-1.57449	-1.54589	-1.52346	-1.6548	-1.63828	-1.61991	-1.42827	-1.2475	-1.42531	-1.53206	-1.65348	-1.57691	-1.48044	-1.42625	-1.23846	-1.43329	-1.29622
CD2 	-0.19964	0.21532	0.35976	0.29733	0.16251	0.46689	0.0259	0.1867	0.94651	0.4609	0.60986	1.12395	0.86068	0.46046	0.74198	0.43054	1.04576	0.40401
CD247 	-1.38634	-1.2355	-0.96919	-1.12562	-0.95903	-1.23892	-1.11764	-1.19745	-0.55052	-0.83901	-0.96451	-0.89512	-0.78551	-0.99096	-0.76492	-0.78884	-0.6532	-0.86448
THBS2 	0.12868	-0.20907	0.49447	0.56707	-0.3485	-0.05685	0.11509	0.35298	1.20161	1.62706	0.87908	1.39604	1.88802	0.53924	2.44971	0.40835	0.46448	0.38965
CECR1 	1.7851	1.59052	1.34515	0.84451	0.46051	1.27554	1.61061	1.43048	2.02758	2.93736	2.08906	2.93259	2.10756	2.22519	3.49432	1.1815	2.2268	2.49448
RBM39 	1.8113	2.12343	1.65198	2.24523	1.3605	1.92433	2.12895	2.52544	2.33695	2.50824	2.74593	3.42125	2.21429	2.64381	2.69165	2.30599	2.07344	2.19839
TTC12 	-1.00024	-1.01962	-0.84363	-1.08782	-1.08952	-0.9309	-0.82405	-0.61609	-0.89909	-0.92865	-0.79816	-0.58475	-0.7454	-0.82636	-0.91406	-0.66007	-0.71432	-0.64381
CRIP1 	-0.16362	0.01177	0.02531	-0.2184	0.42447	0.63772	0.31659	0.0975	1.51173	0.80244	0.61937	1.87123	1.96376	1.49754	1.72873	0.26883	0.15071	1.46444
HIF3A 	-1.24209	-1.26247	-1.14885	-1.13994	-1.09577	-1.12435	-1.29011	-1.04669	-0.7234	-0.9002	-1.10742	-1.0061	-0.86946	-1.11604	-1.249	-0.74189	-0.8122	-1.03636
NR2F2 	-1.50164	-1.74784	-2.08036	-1.34584	-1.74346	-1.68068	-1.71563	-1.2281	-0.98249	-1.4921	-0.73926	-1.15065	-1.56543	-1.55799	-1.01843	-1.26459	-1.23146	-1.41254
RANBP2 	-0.74	-0.82811	-0.59266	-0.79958	-1.24911	-1.07879	-0.91281	-0.27227	-0.5612	-0.68991	-0.10222	-0.31782	-0.71213	-0.31184	-0.54676	-0.7417	-0.69493	-0.02998
SKP1 	5.82877	5.94137	5.77366	6.07873	5.69402	5.92537	5.85129	5.86744	6.03258	6.06474	6.11682	6.07756	6.12945	6.21642	6.09855	6.19187	6.04501	6.29704
C5orf54 	-1.51577	-1.37548	-1.65823	-1.51232	-1.70108	-1.48104	-1.45617	-1.09349	-1.44122	-1.41666	-1.18556	-0.83169	-1.02096	-1.13382	-1.29544	-1.37702	-1.61389	-1.08053
TDRD3 	-0.96644	-1.15905	-1.01841	-0.953	-1.07417	-1.16625	-1.02407	-0.89655	-0.76948	-1.10513	-0.75167	-0.78598	-0.63219	-0.97893	-0.86057	-0.82582	-0.98872	-0.87792
LIF 	0.54823	0.69867	0.49544	0.76772	0.65158	0.44821	0.44489	0.67724	0.92254	1.10844	0.75814	0.62649	0.83328	0.8897	0.7963	0.86017	0.87991	1.45596
CCND2 	1.08759	1.12673	1.55124	1.51796	1.07951	0.99376	1.0882	1.16373	3.79087	2.13438	1.98521	3.18705	2.60853	2.05204	3.46939	1.42686	1.51451	1.91958
GPRC5B 	2.21525	1.90689	1.71306	1.77242	1.9708	1.49375	1.42961	2.1302	2.13269	2.37267	2.50447	2.56063	2.14966	2.63084	2.58615	1.90427	2.03507	3.48905
TLE1 	-1.45017	-1.63451	-1.51003	-1.58714	-1.46454	-1.53802	-1.45385	-1.5108	-1.14923	-1.16158	-1.41242	-1.59233	-1.06873	-1.37952	-1.07138	-1.24537	-1.34559	-0.95009
SLC30A5 	0.44629	0.56959	0.48956	0.50283	0.5678	0.37198	0.67099	0.55917	1.49228	1.16065	0.61136	0.76305	0.75719	0.63194	0.69627	1.18314	1.09624	1.42527
TSPAN13 	0.64392	0.26255	0.72166	0.72242	0.40065	0.47391	0.47612	0.48178	0.87302	1.29723	1.39589	1.8128	1.59514	1.61436	2.04819	0.12311	1.05395	1.55814
SLCO2A1 	1.15235	1.18273	1.13546	1.34161	0.45729	1.15168	1.50115	1.0124	1.66754	1.61955	1.48256	2.28398	2.04795	2.07869	2.10254	1.28641	2.54691	1.8726
ITM2A 	0.02534	-1.59639	-0.85792	0.07178	-0.47874	-0.51675	-0.27707	0.43047	0.80233	0.79026	0.36846	1.31106	0.16134	0.43776	0.84538	-0.18521	0.79954	0.05296
KIF4CP 	0.02534	-1.59639	-0.85792	0.07178	-0.47874	-0.51675	-0.27707	0.43047	0.80233	0.79026	0.36846	1.31106	0.16134	0.43776	0.84538	-0.18521	0.79954	0.05296
IGHG3 	0.29008	2.40667	1.26891	0.75842	1.10243	2.5722	3.40041	2.49677	5.47406	3.56257	6.17638	6.43406	6.18293	2.06792	7.25512	3.15639	6.26276	1.04158
DAPK1 	1.47062	1.26089	1.22593	1.96594	1.75681	1.79584	1.72997	2.41574	1.88958	1.95894	2.03509	2.92757	2.56062	2.13769	2.16091	2.06961	1.48175	2.8922
ANXA1 	0.7417	0.5493	0.75305	1.60084	0.60016	0.85725	0.71355	0.75332	3.28675	1.57622	1.60016	3.51979	2.29464	2.05223	3.63703	0.98645	1.13392	2.61042
TSN 	2.52016	2.38112	2.18575	2.68178	2.07965	2.28155	2.45326	2.57624	2.77063	2.58795	2.67453	2.95783	2.73736	2.74233	2.81466	2.74065	2.46683	3.3078
PROM1 	2.104	1.19876	2.02595	2.75992	1.63191	0.10649	1.57088	2.36765	4.8373	3.91057	2.62694	4.51768	4.3373	2.97233	4.2036	1.42603	1.91084	5.74967
