	H5Tub.HGU133A.Stanford373.Stanford373	H5Tub.HGU133A.Stanford374.Stanford374	H5Tub.HGU133A.Stanford375.Stanford375	H5Tub.HGU133A.Stanford378.Stanford378	H7Tub.HGU133Plus2.Stanford1164.Stanford1164	H7Tub.HGU133Plus2.Stanford1165.Stanford1165	H7Tub.HGU133Plus2.Stanford1166.Stanford1166	H7Tub.HGU133Plus2.Stanford1168.Stanford1168	H7Tub.HGU133Plus2.Stanford1169.Stanford1169	H7Tub.HGU133Plus2.Stanford1170.Stanford1170	H7Tub.HGU133Plus2.Stanford1171.Stanford1171	H7Tub.HGU133Plus2.Stanford1172.Stanford1172	H7Tub.HGU133Plus2.Stanford1173.Stanford1173	H7Tub.HGU133Plus2.Stanford1174.Stanford1174	H7Tub.HGU133Plus2.Stanford1175.Stanford1175	H7Tub.HGU133Plus2.Stanford1177.Stanford1177	H7Tub.HGU133Plus2.Stanford1178.Stanford1178	H7Tub.HGU133Plus2.Stanford1179.Stanford1179	H7Tub.HGU133Plus2.Stanford1180.Stanford1180	H7Tub.HGU133Plus2.Stanford1182.Stanford1182	H7Tub.HGU133Plus2.Stanford1183.Stanford1183	H7Tub.HGU133Plus2.Stanford1184.Stanford1184	H8Tub-HGU133Plus2-LD_Stanford1296-LD_Stanford1296_30_25	H8Tub-HGU133Plus2-LD_Stanford1298-LD_Stanford1298_30_103	H8Tub-HGU133Plus2-LD_Stanford1299-LD_Stanford1299_30_109	H8Tub-HGU133Plus2-LD_Stanford1301-LD_Stanford1301_30_131	H8Tub-HGU133Plus2-LD_Stanford1302-LD_Stanford1302_30_138	H8Tub-HGU133Plus2-LD_Stanford1303-LD_Stanford1303_30_142	H8Tub-HGU133Plus2-LD_Stanford1304-LD_Stanford1304_30_146	H8Tub-HGU133Plus2-LD_Stanford1305-LD_Stanford1305_30_147	H8Tub-HGU133Plus2-LD_Stanford1306-LD_Stanford1306_30_150	H1Tub.HGU133A.DNNULL.DN1	H1Tub.HGU133A.DNNULL.DN10	H1Tub.HGU133A.DNNULL.DN11	H1Tub.HGU133A.DNNULL.DN2	H1Tub.HGU133A.DNNULL.DN3	H1Tub.HGU133A.DNNULL.DN5	H1Tub.HGU133A.DNNULL.DN6	H1Tub.HGU133A.DNNULL.DN7	H1Tub.HGU133A.DNNULL.DN8	H1Tub.HGU133A.DNNULL.DN9	H7Tub.HGU133Plus2.DN1101.DN1101	H7Tub.HGU133Plus2.DN1108.DN1108	H7Tub.HGU133Plus2.DN1110.DN1110	H7Tub.HGU133Plus2.DN1114.DN1114	H7Tub.HGU133Plus2.DN1132.DN1132	H7Tub.HGU133Plus2.DN1133.DN1133	H7Tub.HGU133Plus2.DN1139.DN1139
SDCBP 	3.84755	3.92901	3.99103	3.399	3.50784	4.38097	3.93922	4.00297	4.07201	3.98208	4.29551	4.15392	4.09313	3.97542	4.28421	4.15613	4.16706	4.05359	4.18152	4.06248	4.16962	4.22657	4.31576	4.74364	4.66437	4.11792	4.27459	4.40207	4.15614	4.35691	4.17368	4.28098	4.94238	4.30852	4.65631	4.9906	4.46712	4.90219	4.1948	4.53394	4.767	4.52967	4.56131	4.72217	4.31342	4.26169	4.56553	4.60877
H2AFY2 	0.92321	0.91908	0.82276	1.00688	1.4285	0.91329	0.99351	0.82409	0.87318	1.03574	0.60225	0.73994	0.79387	1.28512	1.09302	0.94111	1.03475	1.13786	0.69149	0.90698	0.82758	0.92231	0.79273	0.78086	1.04272	1.1525	1.10508	1.07005	1.028	1.04628	0.79315	1.07961	1.42047	1.40105	1.04284	1.11829	0.95242	1.34236	1.08403	1.06768	1.48688	1.32896	1.16279	1.40047	1.2916	1.26884	1.25656	1.18942
SEL1L3 	0.14964	0.57121	0.65078	-0.00778	-0.00951	1.13546	0.46999	0.70578	0.77772	0.49569	0.96873	0.64421	0.70941	0.91607	0.06435	0.71289	1.27082	0.15297	1.32528	0.74489	0.79542	0.5711	0.91995	2.19371	1.82149	1.20064	1.36941	1.07368	0.21331	0.68301	1.2967	1.75821	2.00099	1.17417	1.29821	1.98004	1.58987	2.18481	1.04459	0.96679	1.29664	1.71276	1.943	1.84237	1.15878	0.80715	1.88885	1.85855
TLR3 	-0.04854	-0.14792	-0.33879	-0.32254	-0.91287	0.41315	-0.15013	-0.01356	0.2145	0.15953	-0.35671	-0.32761	-0.39731	0.31811	-0.32171	-0.56545	-0.41956	-0.12734	0.06742	0.0357	-0.03356	-0.04927	-0.40722	-0.43042	0.49325	-0.25999	-0.16996	0.40709	0.24261	-0.08083	-0.01252	0.01289	0.59801	0.06222	0.39221	1.03407	0.66622	0.52362	0.02495	0.12513	1.02102	0.68721	0.49417	0.29754	0.29474	0.3207	0.21281	0.38092
GNAI3 	1.31575	1.22859	1.27199	0.99288	0.90427	1.46202	1.26195	1.28866	1.52724	1.23898	1.20233	1.21874	1.09291	1.32547	1.27859	1.36933	1.36047	1.24943	1.31358	1.3703	1.30348	1.39229	1.35973	1.75818	1.61558	1.50064	1.49481	1.57502	1.62907	1.53086	1.41794	1.77463	1.96736	1.6039	1.58572	2.03222	1.67885	1.72406	1.34699	1.55872	2.10972	1.70475	1.66943	1.80439	1.51286	1.34132	1.8664	1.77817
ZZZ3 	1.12617	1.09132	0.78337	0.73935	0.67609	0.71403	0.65721	0.86789	1.12215	0.91405	1.14656	0.76411	0.4499	1.03286	0.70446	0.5805	1.08354	0.66158	0.8874	1.12749	0.94386	1.08167	1.11107	1.27801	1.35895	0.77357	1.18661	0.9838	1.15112	1.15556	1.16015	2.08784	1.2127	0.93317	1.42879	1.40983	1.95877	1.61773	1.15546	1.15673	1.2554	1.66304	1.4177	1.32609	1.34165	1.30093	1.456	1.53031
STX6 	-0.0617	-0.23239	-0.30591	-0.5039	-0.60215	-0.37619	-0.34963	-0.33931	-0.45269	-0.37277	-0.40235	-0.29927	-0.40871	-0.15859	-0.75141	-0.69651	-0.27581	-0.46521	-0.28595	-0.19054	-0.39199	-0.20952	-0.21487	-0.01922	-0.22046	-0.18584	-0.55492	-0.4679	-0.20616	-0.29935	-0.23139	-0.22775	-0.14324	-0.22863	-0.16713	-0.10662	-0.09561	-0.06146	-0.24618	-0.18731	-0.06707	-0.1239	-0.2166	-0.12505	-0.18734	-0.15688	-0.21373	-0.10533
NVL 	0.17459	-0.05379	-0.06128	-0.29476	-0.00755	0.01995	-0.00224	-0.28218	0.06944	-0.03829	3.50E-04	0.04709	-0.36014	-0.00913	-0.14573	-0.17173	0.05193	-0.0676	-0.03531	0.01372	-0.0204	-0.02787	-0.06436	-0.10536	0.10274	0.23084	0.06092	-0.14071	-0.06262	0.17288	-0.00638	0.20283	0.38574	0.32506	0.12085	0.65397	0.29783	0.36663	0.1418	0.3103	-0.09997	0.23897	0.05874	0.34652	0.22897	0.29629	0.13272	0.12259
ZNF816A 	0.72746	0.68397	0.33933	0.84922	0.03619	0.57359	0.72611	0.48126	0.45292	0.38572	0.57453	0.37519	0.27446	0.45012	0.81411	0.08975	0.63603	0.65856	0.22517	0.59924	0.76614	0.65506	0.40404	0.32804	0.77102	1.06476	0.92071	0.41163	0.35119	0.57708	0.75275	1.13865	0.48868	0.76622	0.80607	0.921	1.30403	1.03332	0.78691	0.99107	1.40186	0.89714	1.2247	1.12851	0.5198	1.2744	1.34759	1.04811
VWF 	-0.72015	-0.32944	-0.39274	-0.67744	-0.04839	-0.45342	-0.55489	-0.5653	-0.6543	-0.59976	-0.77717	-0.78948	-0.67967	-0.48471	-0.33978	-0.58527	-0.37982	-0.70391	-0.69313	-0.51544	-0.66498	-0.65207	-0.16664	-1.28269	-0.21867	-0.78148	-0.47918	-0.74878	-0.62234	-0.67785	-0.31061	-0.44963	-0.25408	-0.19308	-0.33799	-0.00111	-0.42863	0.15164	-0.29536	0.541	-0.03233	-0.24816	-0.31766	0.19169	-0.23677	0.28896	0.07061	0.4124
TPM1 	2.1362	2.17278	2.2981	1.83684	1.83346	2.96932	2.2278	2.26237	2.67109	2.13293	2.56354	2.583	2.23961	2.38575	2.32273	2.29717	2.40072	2.76695	2.74558	2.11414	2.31389	2.5213	2.87606	2.63387	2.43013	2.80489	2.71849	2.92208	2.30924	3.1457	2.85972	2.64155	3.53683	3.52326	3.27944	3.81194	3.09299	4.00297	2.75034	2.62264	3.75316	3.73426	3.40347	3.87669	2.60184	2.53885	3.33009	3.85646
C1orf116 	-0.94565	-0.96366	-0.82131	-1.34538	-0.82364	-1.25563	-1.13726	-1.28364	-1.25058	-1.11023	-0.99084	-1.00104	-1.09178	-0.87003	-1.13997	-1.25109	-1.02281	-1.08125	-1.30685	-1.0142	-1.06763	-1.11599	-1.2019	-0.85778	-0.88462	-0.97196	-0.71057	-1.28746	-0.9242	-1.00126	-0.8794	-0.99067	-0.92326	-0.89189	-0.71527	-0.5744	-0.61592	-0.74952	-0.86607	-0.88826	-0.41207	-0.82331	-0.80763	-0.61607	-0.83866	-0.84087	-0.28692	-0.5046
ORC5L 	-1.12806	-1.09634	-1.13857	-1.21105	-1.29108	-1.25508	-1.11891	-1.15541	-1.13851	-1.03945	-1.06838	-1.40909	-1.11767	-1.14577	-1.42649	-1.35886	-1.03323	-1.21454	-1.38347	-1.04809	-1.27501	-1.02179	-1.14385	-0.97691	-0.99655	-1.27821	-1.04514	-1.08344	-1.08461	-1.17424	-1.17764	-0.79038	-1.12847	-1.02891	-1.01146	-0.9281	-0.90519	-1.02967	-0.94103	-1.1069	-1.05615	-0.87418	-0.93416	-1.09892	-0.86657	-0.91272	-1.01514	-1.11073
GALNT3 	-0.60449	-0.68865	-0.43456	-1.19744	-1.21873	-0.58443	-0.73978	-0.79078	-0.81433	-0.9394	-0.48756	-0.59872	-0.84462	-0.60356	-0.99985	-0.63798	-0.68975	-0.48711	-0.67955	-0.93234	-0.75595	-0.7496	-0.1627	-0.73789	-0.61837	-0.63023	-1.09114	-0.70271	-0.43796	-0.54312	-0.74408	-0.64798	-0.29976	-0.64847	-0.39144	0.06516	-0.04649	-0.28083	-0.67889	-0.45834	0.033	-0.42472	-0.19535	-0.20344	-0.48817	-0.43539	-0.05557	0.00101
FLRT3 	1.52275	1.1245	1.10025	0.95988	1.38056	2.58414	1.62099	1.54741	2.04084	1.77204	1.67709	1.80313	1.52628	1.97617	1.66985	1.92147	2.19947	1.05952	1.62692	2.14535	1.56648	1.99407	2.33247	1.9314	1.87791	2.0115	2.07315	1.21906	1.62085	1.4707	1.76597	2.88562	3.65696	2.59941	2.25905	2.42604	4.28754	1.76596	2.82416	1.94082	3.80272	2.94365	3.55615	2.80457	2.97001	2.62464	2.67989	2.07764
CFB 	-0.07902	0.75974	0.39124	-0.27734	-0.2406	1.41521	0.93329	1.17069	-0.26946	0.52237	0.66167	0.7813	1.52452	0.18306	-0.07955	1.07344	0.86227	0.65767	1.02039	0.09879	0.81765	0.28509	1.66476	2.78978	1.35258	0.84566	1.13945	1.13445	0.37918	0.78011	0.53965	0.91257	2.46643	2.5435	0.80735	1.8191	1.78002	2.51541	1.4021	2.11957	3.05448	1.79896	2.01216	2.30442	1.24596	0.75249	2.98055	2.55147
TLR1 	-2.04082	-2.04314	-1.98127	-1.4746	-2.27568	-1.78518	-2.08838	-2.23577	-1.62309	-1.96545	-2.29403	-2.28316	-2.21736	-1.75319	-2.31571	-2.38208	-2.15409	-1.54644	-1.84987	-2.24426	-1.9959	-2.14611	-1.61098	-2.28215	-1.80524	-2.29479	-1.73736	-1.6799	-1.97343	-1.71151	-1.99378	-1.81496	-1.54228	-1.88265	-1.92523	-1.5387	-1.63475	-1.28125	-1.56543	-1.45576	-1.19275	-1.75794	-1.43952	-0.95813	-1.40651	-1.58914	-1.54147	-0.78971
MMP7 	1.61246	1.2056	2.50781	1.75411	1.40549	4.56792	2.2922	1.63853	2.48508	1.27466	2.19945	2.66968	1.85839	2.79801	2.10924	1.63433	1.79956	2.92214	3.66697	1.97361	2.87438	2.31125	3.29978	3.24783	3.45033	2.42384	1.48997	3.21331	1.59859	5.30163	3.36648	2.19877	5.97546	5.45116	3.75979	5.48141	3.51033	5.68868	2.5905	4.92209	6.44618	4.44925	4.1396	5.807	3.11025	3.54553	4.93751	5.77663
RNF34 	1.25698	1.31795	1.2899	1.11477	0.81277	1.23643	1.31769	1.20192	1.26249	1.0462	1.39866	1.33534	1.01962	1.1004	1.32809	1.20355	1.41724	0.89179	1.25786	1.59654	1.35658	1.50784	1.45341	1.32291	1.11255	1.59522	1.48051	1.31145	1.63061	1.26877	1.57792	1.28884	1.66277	1.97256	1.46442	1.57991	1.68784	1.57804	1.5475	1.62488	2.21923	1.75313	1.44204	1.76161	1.51767	1.46646	1.77924	1.88055
FBN1 	-1.40789	-1.40609	-1.41166	-1.46257	-1.46279	-1.27387	-1.43364	-1.46836	-1.48224	-1.54468	-1.41045	-1.2252	-1.34175	-1.53911	-1.16247	-1.52292	-1.50416	-1.42411	-1.22707	-1.50135	-1.48736	-1.50399	-1.29912	-1.18724	-1.57825	-1.97567	-1.59314	-1.44564	-1.53128	-1.47236	-1.18642	-0.85913	-0.6779	-1.1556	-0.96277	-1.11758	-1.0186	-0.36689	-1.43921	-1.29081	-0.58914	-0.98656	-1.20264	-0.6145	-1.31415	-0.97874	-1.06473	-0.83284
COL4A1 	1.12059	1.4972	1.76534	1.37775	0.89832	2.53867	1.97449	1.82611	1.56283	1.48546	2.16199	1.93509	1.80619	1.80105	2.02784	1.56352	1.76637	1.55818	2.1479	1.48557	1.74796	1.76114	2.47929	2.13745	2.4572	1.90771	1.63326	1.83206	2.79297	2.27248	2.03077	1.89316	3.25271	3.12791	2.30349	2.73537	2.9023	3.80798	1.8648	2.56038	3.66789	3.12254	2.76915	3.31817	2.1731	2.05047	3.02358	3.24155
ZNF238 	-0.18984	-0.15176	-0.26456	-0.34443	-0.87587	-0.22681	-0.29908	-0.26467	-0.14754	-0.35941	-0.50195	-0.40548	-0.41596	-0.25566	-0.80392	-0.39726	-0.22425	-0.61488	-0.22216	-0.28765	-0.22116	-0.36365	-0.10697	-0.26389	-0.22117	-0.29377	-0.4873	-0.40424	-0.16628	-0.15058	-0.06769	-0.08853	-0.12129	-0.04769	-0.26994	-0.09198	-0.12211	0.00737	-0.07234	-0.2882	-0.20009	0.13622	0.06508	-0.15068	-0.15804	-0.12265	0.09324	-0.14096
C2CD2 	0.03168	0.31859	0.27397	0.12264	-0.10756	0.72205	0.35242	0.70297	-0.00555	0.20133	0.34163	0.40991	0.14834	0.2142	0.32311	0.1657	0.27727	0.20211	0.65611	0.0221	0.64412	0.27115	0.16412	0.7252	0.51854	0.11829	0.35844	0.44889	0.49727	0.52438	0.30535	0.57294	0.52867	0.71046	0.8103	1.03237	1.35248	1.17181	0.36173	0.38203	0.93216	0.82811	0.81556	1.28029	0.54523	0.52045	0.94875	1.13988
COMT 	2.2895	2.23169	2.1195	2.11757	2.29163	2.34798	2.3151	2.40258	2.41456	2.13848	2.43818	2.09076	2.14972	2.31857	2.39585	2.33326	2.34168	2.43964	2.36393	2.20342	2.30096	2.4849	2.19581	2.33671	2.41747	2.77812	2.76806	2.35749	2.27078	2.35586	2.32037	2.34356	2.54159	2.74976	2.60084	2.59365	2.68979	2.49129	2.25791	2.45862	2.6806	2.61274	2.50975	2.51759	2.53145	2.69475	2.70514	2.55365
TMSB10 	4.39895	4.17154	4.44718	4.68092	4.62602	5.58721	4.83764	4.5052	4.74725	4.2631	5.08388	4.87912	5.26544	4.46698	4.39288	4.99917	4.55121	5.35182	5.06505	4.4593	4.95566	4.81779	5.3196	5.48305	5.29333	5.42498	5.58943	5.4281	5.34463	5.56842	5.32813	4.72355	6.66904	6.50328	5.31833	6.73065	5.80092	6.66728	5.4054	5.707	6.36562	5.98443	5.69032	6.6248	5.06179	5.38346	6.52641	6.38045
KIDINS220 	1.31723	1.21252	1.23486	0.98748	0.73944	1.47995	1.36987	1.30492	1.29396	1.44638	1.35007	1.46746	1.42889	1.35523	1.47676	1.37103	1.44145	1.21418	1.42212	1.27621	1.38738	1.2148	1.42568	1.19299	1.54606	1.30195	1.47165	1.34983	1.46043	1.37323	1.31542	1.59889	1.62488	1.48925	1.56082	1.49618	1.62303	1.48523	1.46808	1.36622	1.63183	1.57141	1.51704	1.60325	1.61869	1.32725	1.48371	1.39171
NME7 	1.68839	1.78973	1.2422	1.19323	1.0275	2.0384	1.84116	1.8234	1.82253	1.4401	1.57117	1.34006	1.80272	1.86362	1.73291	1.60017	1.59546	1.3285	1.9314	1.79405	1.40344	1.48526	1.76705	1.87681	2.07316	1.52518	2.02441	2.12807	1.53883	1.7656	1.90776	2.38849	1.94109	1.54276	2.20301	2.2926	2.09979	1.8072	2.15005	1.70407	2.28022	2.29222	2.2855	2.37377	2.06403	1.94613	2.15167	1.96201
ZC3H7A 	0.32781	0.34392	0.09739	0.14785	-0.3357	-0.01029	0.11266	0.14968	0.2373	0.27621	0.16217	-0.02554	-0.3208	0.00526	0.01594	0.17571	0.3581	-0.01752	0.04496	-0.0056	0.22514	0.04541	0.09376	0.22255	0.08424	0.21568	0.22051	0.31601	0.53157	0.26297	0.21282	1.12322	0.38731	0.25325	0.29783	0.49967	0.68151	0.3485	0.21257	0.41638	0.44018	0.57598	0.36622	0.37504	0.58676	0.64205	0.55014	0.36976
SERPINE2 	2.65045	2.82138	2.45552	2.71435	1.4544	3.585	3.23185	3.30873	2.8059	2.58361	2.97006	3.24585	2.83576	3.14536	2.08249	2.79191	3.3078	2.76645	3.71369	3.70029	3.09903	2.37898	4.24361	4.49457	3.49008	2.8268	3.52707	3.25817	3.29734	3.00487	3.53985	2.92214	4.65866	3.90422	4.00501	4.08063	3.75183	5.01005	3.67624	5.00064	3.27044	4.31918	4.17689	3.87944	3.34982	3.6965	4.68577	4.175
TUBA1A 	2.42488	2.48344	3.3591	1.78175	2.05007	3.75904	2.97462	2.73591	3.03078	2.7152	2.9268	3.13478	3.04931	2.70289	3.38174	2.83985	2.33177	3.3346	3.08119	2.22857	2.74625	2.70298	3.93821	3.45178	3.60501	3.55985	3.77917	3.63005	3.53074	4.00885	3.14226	2.96002	4.54512	4.65969	3.78178	4.80579	4.16896	5.0053	2.97377	3.78342	4.30938	4.57594	3.87848	4.73142	3.46551	3.22476	5.1742	4.81551
RRM2 	-1.1034	-1.10516	-1.34428	-1.12487	-1.16759	-1.46274	-1.58727	-1.41276	-1.52795	-1.57912	-1.70967	-1.60639	-1.25192	-1.26352	-1.62503	-1.62901	-1.59434	-1.36167	-1.55066	-1.58714	-1.79116	-1.47883	-2.18213	-0.88714	-0.66879	-2.03021	-1.66231	-1.2979	-1.31353	-1.59997	-1.58681	-0.8996	-0.71779	-0.90663	-0.87413	-1.0866	-1.2178	-0.21502	-1.13282	-0.64095	-0.87539	-0.86073	-1.02538	-0.34179	-1.43255	-1.23734	-1.29987	-0.2415
ALOX5 	-1.83715	-1.80846	-1.74362	-1.80179	-2.00466	-1.81982	-1.86946	-1.83737	-2.00687	-1.95275	-1.83008	-2.00493	-1.84323	-1.99351	-1.93662	-1.92839	-1.89571	-1.60784	-1.74966	-1.94584	-1.9141	-1.93133	-2.09361	-1.73858	-1.50323	-1.70827	-1.87245	-1.74872	-1.65135	-1.78545	-1.63138	-1.81822	-0.45845	-0.45707	-1.53354	-1.23436	-1.46079	-0.58205	-1.72526	-1.05527	-1.37161	-1.10737	-1.43277	-0.76697	-1.46322	-1.35933	-1.19617	-0.71013
DARC 	-0.7651	-0.79273	-0.73556	-0.53692	-0.76173	-0.88562	-1.22668	-1.02472	-1.13338	-1.17481	-0.80266	-1.0601	-0.74458	-1.18608	-0.74283	-1.14023	-0.94204	-0.89441	-0.48999	-1.04802	-0.96333	-0.82128	-0.90967	-0.85167	-1.50867	-1.12572	-1.31731	-0.88266	-0.64274	-0.55929	0.30504	-0.81397	0.65785	0.07973	-0.80728	0.84596	-0.28818	0.53211	-0.52304	1.16409	1.03462	-0.4827	-0.34333	0.90975	0.09144	0.00345	0.36023	1.43071
FAM129A 	-1.77799	-1.65924	-1.74482	-1.67122	-1.74779	-1.68298	-1.68776	-1.46509	-1.55393	-1.84238	-1.57519	-1.6204	-1.5124	-1.95072	-1.32857	-1.73169	-1.73773	-1.191	-1.5021	-1.89896	-1.67811	-1.68104	-0.57774	-1.05688	-1.5525	-1.57914	-1.85113	-1.47755	-1.91697	-1.29787	-1.50675	-1.17584	-1.01932	-1.41433	-1.29873	-0.74223	-1.14768	-0.46357	-0.55473	-1.24908	-0.87383	-1.28363	-0.94	-0.35753	-1.35719	-1.48374	-0.97201	-0.20037
FNTA 	2.22617	2.09755	1.98922	1.90288	1.91554	2.34271	2.1459	2.1009	2.25352	2.08096	2.40013	2.11393	1.90482	2.24372	2.03021	2.10104	2.29803	2.48691	2.11402	2.25884	2.24768	2.41218	2.33601	2.46253	2.50163	2.20532	2.51199	2.26063	2.49134	2.40065	2.18653	2.82887	2.75958	2.26069	2.56965	2.95195	2.67445	2.70282	2.19984	2.19607	2.73699	2.71829	2.56434	2.74438	2.49549	2.32259	2.57696	2.5272
ALG6 	1.13432	0.87581	1.08279	0.80642	-0.42942	0.77278	0.6773	0.59215	0.87623	0.72702	0.55353	0.58547	0.65968	0.91628	0.25196	0.6041	0.79557	0.60155	0.9038	1.00159	0.68289	0.91625	0.64954	0.99652	0.80095	0.52482	0.79258	0.95467	0.88774	0.72252	0.80843	1.04669	1.28659	0.97305	0.90974	1.25056	1.17505	0.79443	0.99333	1.06864	0.99916	1.01866	0.89193	1.06576	0.93882	1.15305	1.10002	0.99009
KDM4A 	0.68574	0.66396	0.58577	0.73512	0.91725	0.57496	0.6967	0.66853	0.77356	0.63317	0.60949	0.48645	0.66039	0.67348	0.53222	0.63742	0.54896	0.67852	0.71187	0.5624	0.62671	0.49929	0.58973	0.58174	0.59644	0.65591	0.63622	0.80538	0.77711	0.72067	0.7184	0.71194	0.8952	0.89811	0.73434	0.61226	0.72222	0.70787	0.97327	1.02329	0.84916	0.79893	0.79162	0.84195	0.84334	0.76899	0.88319	0.8391
RBM4B 	0.62428	0.50332	0.36937	0.13492	0.32413	0.67077	0.37133	0.5882	0.20671	0.38448	0.3756	0.41846	0.33617	0.83469	0.38093	0.28558	0.48104	0.08979	0.65372	0.5263	0.49999	0.23576	0.47963	0.43407	0.60397	0.27865	0.53536	0.55228	0.89826	0.53646	0.4329	0.58526	0.85725	1.1126	0.55401	0.91629	0.91386	0.83083	0.98066	0.89113	1.22048	0.84326	0.28309	0.85276	0.98852	0.50797	0.6959	0.81653
HBB 	1.0962	0.94199	2.29079	0.9421	2.14486	0.92783	0.9559	0.37641	0.99678	0.65579	-0.0294	0.86796	4.15753	0.32717	0.55824	3.13406	-0.01007	5.73878	-0.17279	0.5235	0.17211	1.3226	2.08979	3.08367	3.96633	1.70112	2.15647	1.1787	1.40282	1.29075	0.93741	3.08082	1.70268	2.43342	3.70437	6.19137	6.68422	5.5432	5.17456	2.55427	2.3031	3.18162	3.82258	2.62732	3.32169	3.61104	3.2975	5.20618
ITM2C 	2.32706	2.49851	2.45818	2.29035	2.36963	2.56189	2.54607	2.2423	2.20553	1.89291	2.39637	2.63018	2.26935	2.59162	2.76756	2.29382	2.62091	2.76782	2.16565	2.15196	2.79325	2.58614	2.88382	2.51338	3.04661	2.74404	2.86036	2.72303	2.52204	2.3951	2.91892	2.33143	3.636	3.3985	3.01958	3.56037	3.39897	3.4796	2.55008	2.91305	3.92388	2.67469	2.82393	3.21006	3.0633	3.40138	3.83325	3.68883
CLU 	1.99267	2.44974	2.08316	1.35794	0.92378	3.09137	2.21852	2.04778	1.65484	1.84297	1.84311	2.37394	3.05801	2.172	2.03623	1.85495	1.79126	2.83505	2.36646	1.4041	2.16056	1.50036	2.5215	3.64549	2.45531	3.44681	1.91225	2.8098	2.17539	2.48527	2.63003	2.63781	3.9621	3.22858	2.76674	3.09033	4.02933	4.21559	2.59659	3.03713	4.58535	3.21138	2.74018	4.5884	2.67227	2.44199	4.27884	4.3442
PTPRK 	2.7771	2.88261	2.96719	2.65427	2.17014	3.01929	2.953	2.82023	2.79059	2.69158	2.88396	2.93471	3.03185	2.62889	2.97489	2.68435	2.92782	2.67436	3.15969	2.79977	2.93318	2.78795	3.01046	3.02907	3.02776	2.77086	2.83256	2.90008	3.02172	2.9798	2.89057	3.27065	3.30814	2.93029	3.13392	3.2642	3.34126	3.65258	2.73052	2.94468	3.43759	3.34193	3.41865	3.49285	3.2272	3.01241	3.66699	3.10346
NCK1 	0.63062	0.43847	0.30963	0.0589	0.11029	0.63251	0.51084	0.4556	0.48221	0.40957	0.65345	0.52476	0.28531	0.51713	0.21986	0.38946	0.45921	0.21731	0.56607	0.44339	0.33658	0.60341	0.76257	0.71989	0.83806	0.30352	0.57904	0.51703	0.81454	0.7797	0.8453	0.65013	1.51855	0.85332	0.85425	0.86256	0.85039	1.4539	0.79945	0.72177	0.88687	0.87848	0.8604	1.3662	0.84053	0.50283	0.76861	1.00371
ZFP112 	-0.96531	-1.28843	-1.323	-1.5094	-1.59384	-1.6226	-1.23647	-1.41071	-1.25602	-1.25627	-1.30884	-1.35722	-1.64054	-1.19086	-1.41604	-1.49856	-1.16632	-1.63951	-1.51721	-1.18122	-1.26569	-1.27487	-1.12163	-1.3319	-1.30862	-1.40422	-0.87226	-1.06364	-0.94851	-1.3516	-1.5066	-0.9748	-1.30777	-1.08734	-0.83492	-1.0874	-0.71553	-0.96344	-1.25636	-1.38392	-1.01754	-0.89291	-0.90634	-0.9113	-0.87018	-1.23578	-0.8859	-0.95924
LIPA 	2.91499	2.80952	2.87238	2.26111	2.34439	3.06853	2.71597	2.87589	2.93983	2.82023	2.92804	2.72628	2.67802	2.97317	2.81045	2.59611	2.9455	2.95696	2.93445	2.89256	2.72647	3.45707	3.36428	2.91165	3.5291	3.14666	2.89882	3.19231	3.13966	2.93128	3.05933	3.14048	3.97648	2.83769	3.20635	3.81924	3.37316	3.95059	3.16811	3.84869	3.9525	3.53617	3.18063	4.03692	3.1232	3.17785	3.55532	3.91759
ADNP 	2.22519	2.04608	1.9343	1.27041	0.1976	1.79785	1.72113	1.74522	2.08105	1.79222	2.027	1.82094	1.69338	1.79759	1.51121	1.72639	2.01805	1.79686	1.76394	1.81513	1.85249	1.82574	2.04026	1.90166	1.89612	2.1687	1.75137	1.98408	2.40982	2.30381	2.20223	2.2763	2.28782	2.12603	2.23705	2.76683	2.51513	2.77611	1.94651	1.92048	2.29259	2.25466	2.33645	2.46577	2.0468	2.19741	2.31096	2.24682
CASP6 	0.38907	0.41597	0.27342	0.04771	-0.31288	0.48544	0.29983	0.44181	0.43508	0.36389	0.42973	0.24276	0.34449	0.37863	-0.18642	0.37945	0.40809	0.21724	0.50423	0.46439	0.53987	0.29645	0.42486	0.69691	0.68666	0.39492	0.73395	0.58011	0.54861	0.28032	0.39591	0.57847	0.84064	0.74806	0.32725	0.82832	0.79846	0.6977	0.50543	0.30811	1.1856	0.85356	0.93296	0.80678	0.70704	0.60773	0.79392	0.661
PLEKHA9 	-1.95161	-1.95215	-1.93837	-2.29805	-1.91899	-2.35454	-1.9337	-2.07108	-2.12188	-1.96177	-2.00872	-2.05266	-2.0973	-2.23533	-2.01988	-2.15752	-2.01774	-1.91086	-1.97981	-1.85487	-1.94555	-2.16679	-2.01588	-1.99501	-2.15058	-2.11966	-1.84677	-2.18899	-1.88395	-1.89312	-2.34822	-1.78764	-1.40864	-1.97278	-1.90037	-1.90178	-1.83073	-2.06599	-1.86528	-1.73578	-1.75582	-1.90347	-1.87914	-1.87528	-1.81252	-1.6939	-1.6856	-1.84597
